question_id,question,question_type,expected_route,answerable,requires_retrieval,gold_evidence_count,scope_count,pipeline_success,actual_route,route_correct,predicted_abstain,retrieved_count,recall_at_5,recall_at_10,hit_at_5,hit_at_10,mrr,citation_count,citation_validity,citation_coverage,grounding_validator_pass,synthesis_repaired,synthesis_attempts,planner_latency_ms,synthesis_latency_ms,total_latency_ms,planner_input_tokens,planner_output_tokens,synthesis_input_tokens,synthesis_output_tokens,answer_text,used_citations,retrieved_nct_ids,gold_evidence_nct_ids,judge_success,judge_answer_correctness,judge_groundedness,judge_completeness,judge_citation_entailment,judge_notes
C01,Compare the number of Phase 3 direct-obesity trials run by Novo Nordisk and Eli Lilly.,comparative,structured,True,False,0,96,True,structured,True,False,0,,,,,,0,1.0,,True,False,1,1299.5,1765.8,3388.1,1771,183,6547.0,259.0,Novo Nordisk ran 59 Phase 3 direct-obesity trials versus Eli Lilly's 37 Phase 3 direct-obesity trials.,[],[],[],True,pass,pass,pass,pass,"The answer correctly states that Novo Nordisk ran 59 Phase 3 direct-obesity trials versus Eli Lilly's 37 Phase 3 direct-obesity trials, directly supported by the structured analysis under company_breakdown. All claims are fully grounded and the answer addresses the comparison question completely. No citations are required as per the structured analysis context."
C02,Compare the active share of obesity trials for Amgen and Novo Nordisk.,comparative,structured,True,False,0,78,True,structured,True,False,0,,,,,,0,1.0,,True,False,1,1233.9,1943.5,3480.2,1765,172,5312.0,278.0,"Both Amgen and Novo Nordisk have an active share of 100% in their obesity trials, meaning all trials for each company are currently active.",[],[],[],True,pass,pass,pass,pass,"The answer correctly states that both Amgen and Novo Nordisk have an active share of 100% in their obesity trials, as supported by the structured analysis. The analysis shows that Amgen has 7 active trials (all active) and Novo Nordisk has 25 active trials (all active), resulting in 100% active share for both companies. The answer is complete, accurate, and well-supported by the provided data. No citations are required as per the structured analysis."
C03,How do Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives?,comparative,hybrid,True,True,6,59,True,hybrid,True,False,10,0.0,0.0,0.0,0.0,0.0,8,1.0,1.0,True,False,1,1549.7,4330.7,6351.4,1771,241,11837.0,480.0,"Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives. Tirzepatide has fewer trials (18) but a higher proportion of active trials (33% active share) compared to Semaglutide (26 trials, 8% active share). Tirzepatide trials show a broader focus on weight maintenance and adolescent populations, while Semaglutide trials emphasize long-term weight loss and maintenance in adults with obesity or overweight.","[""NCT03548987"", ""NCT03693430"", ""NCT04184622"", ""NCT04660643"", ""NCT04844918"", ""NCT05822830"", ""NCT06041217"", ""NCT06439277""]","[""NCT04844918"", ""NCT06041217"", ""NCT04184622"", ""NCT03552757"", ""NCT05822830"", ""NCT05444153"", ""NCT04660643"", ""NCT03693430"", ""NCT06439277"", ""NCT03548987""]","[""NCT03548935"", ""NCT03574597"", ""NCT04847557"", ""NCT04916470"", ""NCT05064735"", ""NCT06937086""]",True,pass,pass,pass,pass,The answer correctly identifies the difference in trial counts (18 vs 26) and active trial shares (33% vs 8%) between Tirzepatide and Semaglutide programs using structured data. It accurately notes Tirzepatide's focus on weight maintenance and adolescents (supported by NCT06439277 and NCT04660643) and Semaglutide's emphasis on long-term weight loss. The claim about comparative efficacy (NCT05822830) is also well-supported. All citations align with the evidence provided.
C04,How do primary outcomes differ between Retatrutide and Orforglipron obesity trials?,comparative,retrieval,True,True,6,18,True,hybrid,False,False,10,0.5,0.8333333333333334,1.0,1.0,0.5,10,1.0,1.0,True,False,1,1380.5,5092.7,6890.6,1770,214,9923.0,501.0,"The primary outcomes for Retatrutide and Orforglipron obesity trials differ in their focus and measurement metrics. Retatrutide trials primarily measure percent change from baseline in body weight, while Orforglipron trials also focus on percent change in body weight or BMI but include additional outcomes such as BMI change in adolescents and specific weight reduction thresholds.","[""NCT05869903"", ""NCT05872620"", ""NCT05929066"", ""NCT05931380"", ""NCT06672939"", ""NCT06859268"", ""NCT06972459"", ""NCT07035093"", ""NCT07232719"", ""NCT07357415""]","[""NCT06859268"", ""NCT06672939"", ""NCT07035093"", ""NCT05869903"", ""NCT07357415"", ""NCT06972459"", ""NCT05929066"", ""NCT05931380"", ""NCT07232719"", ""NCT05872620""]","[""NCT05869903"", ""NCT05929066"", ""NCT05931367"", ""NCT05931380"", ""NCT06672939"", ""NCT07035093""]",True,pass,pass,pass,pass,"The answer correctly identifies the primary outcome differences between Retatrutide and Orforglipron obesity trials based on the retrieved evidence. It accurately states that Retatrutide trials primarily measure percent change from baseline in body weight, while Orforglipron trials also focus on percent change in body weight or BMI but include additional outcomes such as BMI change in adolescents and specific weight reduction thresholds. The citations provided support these claims, with each key finding having appropriate supporting evidence from the retrieved trials. The limitations section appropriately acknowledges the constraints of the analysis."
C05,Compare the obesity development footprints of Survodutide and Maridebart cafraglutide.,comparative,hybrid,True,True,8,14,True,structured,False,False,0,0.0,0.0,0.0,0.0,0.0,0,1.0,,True,False,1,1786.7,2594.9,4526.0,1769,215,3902.0,393.0,"The obesity development footprints of Survodutide and Maridebart cafraglutide show distinct characteristics in trial counts, activity status, and geographic reach.",[],[],"[""NCT04667377"", ""NCT05669599"", ""NCT06066515"", ""NCT06066528"", ""NCT06309992"", ""NCT06858839"", ""NCT07441252"", ""NCT07684235""]",True,pass,pass,pass,not_applicable,"The answer correctly compares the obesity development footprints of Survodutide and Maridebart cafraglutide using the provided structured analysis. It accurately reports trial counts, activity status, phase distribution, enrollment sizes, and geographic reach based on the data. All claims are supported by the structured analysis without requiring external citations, as the analysis explicitly states that citations are not required for this type of descriptive comparison. The answer is complete and addresses all aspects of the question using the available evidence."
C06,How do Novo Nordisk's Zenagamtide and CagriSema programs differ in trial maturity?,comparative,hybrid,True,True,6,15,True,structured,False,False,0,0.0,0.0,0.0,0.0,0.0,0,1.0,,True,False,1,1317.1,2432.6,3900.5,1771,187,3842.0,392.0,"Novo Nordisk's Zenagamtide and CagriSema programs differ in trial maturity, with Zenagamtide showing a more active and ongoing development trajectory compared to CagriSema.",[],[],"[""NCT06064006"", ""NCT07339423"", ""NCT07357766"", ""NCT07400107"", ""NCT07564414"", ""NCT07668401""]",True,pass,pass,pass,pass,"The answer correctly identifies differences in trial maturity between Zenagamtide and CagriSema using structured analysis data. Key findings accurately reflect the active trial counts, phase distributions, and start year ranges from the provided breakdown. All claims are directly supported by the structured data without overgeneralization. The answer is complete and adheres to the limitations noted in the structured analysis."
C07,Which has more obesity trials in the corpus: Tirzepatide or Retatrutide?,comparative,structured,True,False,0,32,True,structured,True,False,0,,,,,,0,1.0,,True,False,1,1306.0,1485.7,2890.2,1770,197,3788.0,226.0,Tirzepatide has more obesity trials in the corpus than Retatrutide.,[],[],[],True,pass,pass,pass,not_applicable,"The answer correctly states that Tirzepatide has more obesity trials (18) than Retatrutide (10) based on the structured analysis. All claims are directly supported by the provided data. No citations are required as per the structured analysis context, and the limitations are appropriately included."
C08,How do the studied populations differ between Cagrilintide and Eloralintide obesity trials?,comparative,retrieval,True,True,8,21,True,retrieval,True,False,9,0.5,0.875,1.0,1.0,1.0,7,1.0,1.0,True,False,1,1475.8,3070.3,4826.1,1770,222,7894.0,493.0,"The studied populations for Cagrilintide and Eloralintide obesity trials differ in key ways, including diabetes status, BMI thresholds, and comorbidity inclusion.","[""NCT07220759"", ""NCT07282600"", ""NCT07321886"", ""NCT07353931"", ""NCT07369011"", ""NCT07392190"", ""NCT07745504""]","[""NCT07220759"", ""NCT07282600"", ""NCT07220642"", ""NCT07392190"", ""NCT07745504"", ""NCT07321886"", ""NCT07353931"", ""NCT07369011"", ""NCT06230523""]","[""NCT07220759"", ""NCT07253285"", ""NCT07282600"", ""NCT07321886"", ""NCT07353931"", ""NCT07369011"", ""NCT07392190"", ""NCT07745504""]",True,pass,pass,pass,pass,"The answer correctly identifies key differences in studied populations between Cagrilintide and Eloralintide obesity trials based on retrieved evidence. It accurately notes differences in diabetes status inclusion (Cagrilintide requires T2D in one trial while Eloralintide includes both with and without T2D), BMI thresholds (Cagrilintide has specific tiers while Eloralintide focuses on obesity/overweight), and comorbidity inclusion (Eloralintide includes osteoarthritis knee pain and obstructive sleep apnea populations not represented in Cagrilintide evidence). All claims are supported by the cited NCT IDs and the evidence retrieval aligns with the question scope. The limitations section appropriately acknowledges corpus constraints and cross-trial comparison caveats."
C09,Compare median enrollment across the four companies' obesity trial portfolios.,comparative,structured,True,False,0,136,True,structured,True,False,0,,,,,,0,1.0,,True,False,1,1189.9,2019.2,3716.8,1763,182,8876.0,330.0,"The median enrollment across the four companies' obesity trial portfolios is as follows: Amgen (771), Boehringer Ingelheim (307), Eli Lilly (414), and Novo Nordisk (400).",[],[],[],True,pass,pass,pass,pass,"The answer correctly extracts and reports the median enrollment values for each company's obesity trial portfolio from the structured analysis. The values (Amgen: 771, Boehringer Ingelheim: 307, Eli Lilly: 414, Novo Nordisk: 400) are directly taken from the 'company_breakdown' section of the structured analysis. All claims are supported, and the answer fully addresses the question by comparing median enrollment across the four companies. No unsupported claims or omissions are present. Citation entailment is 'pass' because while no citations are provided in the answer, the support type is correctly noted as 'structured', and the evidence is entirely derived from the supplied structured analysis."
C10,Which company currently has the highest proportion of active obesity trials?,comparative,structured,True,False,0,139,True,structured,True,False,0,,,,,,0,1.0,,True,False,1,1357.6,2411.9,4247.0,1763,194,7157.0,362.0,"Both Eli Lilly and Novo Nordisk currently have the highest proportion of active obesity trials, each accounting for 25 active trials out of the total 58 active obesity trials in the dataset.",[],[],[],True,pass,pass,pass,pass,"The answer correctly identifies that both Eli Lilly and Novo Nordisk have the highest proportion of active obesity trials (25 each out of 58 total), which is directly supported by the structured analysis data. The answer includes all required elements: total trial count, company-specific counts and proportions, and appropriate limitations. The citation_entailment is pass because while no explicit citations are provided in the evidence, the answer is derived entirely from the supplied structured analysis data, which meets the criteria for structured support."
A01,What does the trial evidence suggest about how Novo Nordisk's obesity pipeline has evolved from established products toward newer programs?,analytical,hybrid,True,True,5,70,True,hybrid,True,False,10,0.0,0.0,0.0,0.0,0.0,9,1.0,1.0,True,False,1,1363.6,3689.0,5964.9,1773,234,12363.0,469.0,"The trial evidence shows Novo Nordisk's obesity pipeline has evolved from established Liraglutide use toward newer Semaglutide and emerging programs like Retatrutide and Survodutide, with progression indicated by comparative trials and newer program entries.","[""NCT00781937"", ""NCT01511198"", ""NCT02453711"", ""NCT03552757"", ""NCT04074161"", ""NCT05882045"", ""NCT06066515"", ""NCT06176365"", ""NCT07232719""]","[""NCT03856047"", ""NCT04074161"", ""NCT05882045"", ""NCT06176365"", ""NCT00781937"", ""NCT03552757"", ""NCT07232719"", ""NCT06066515"", ""NCT01511198"", ""NCT02453711""]","[""NCT01272232"", ""NCT03548935"", ""NCT06131437"", ""NCT06780449"", ""NCT07509307""]",True,pass,pass,pass,pass,"The generated answer correctly identifies the evolution of Novo Nordisk's obesity pipeline from Liraglutide to Semaglutide and newer programs like Retatrutide and Survodutide. The key findings are well-supported by the cited trials: Liraglutide's established role (NCT00781937, NCT01511198), Semaglutide's comparative advantage (NCT04074161, NCT03552757, NCT02453711), and the emergence of Retatrutide and Survodutide (NCT05882045, NCT06176365, NCT06066515, NCT07232719). The answer accurately reflects the progression indicated by trial phases, timelines, and program focus without overclaiming superiority. All citations align with the narrative claims."
A02,What does the trial portfolio suggest about how Eli Lilly is diversifying beyond Tirzepatide?,analytical,hybrid,True,True,6,54,True,hybrid,True,False,10,0.16666666666666666,0.16666666666666666,1.0,1.0,0.25,5,1.0,1.0,True,False,1,1415.8,2881.2,4569.5,1770,212,9371.0,370.0,The trial portfolio indicates that Eli Lilly is diversifying beyond Tirzepatide by exploring combination therapies and expanding into adjacent therapeutic areas where obesity is a comorbidity.,"[""NCT04657016"", ""NCT05556512"", ""NCT05822830"", ""NCT06588283"", ""NCT06588296""]","[""NCT04844918"", ""NCT05556512"", ""NCT06439277"", ""NCT04184622"", ""NCT06588296"", ""NCT04660643"", ""NCT04657003"", ""NCT06588283"", ""NCT05822830"", ""NCT04657016""]","[""NCT04184622"", ""NCT05872620"", ""NCT06143956"", ""NCT06603571"", ""NCT06662383"", ""NCT07215559""]",True,pass,pass,pass,pass,"The answer correctly identifies Eli Lilly's diversification strategies beyond Tirzepatide based on the trial portfolio. The key findings are well-supported by the cited trials: combination therapies with Ixekizumab (NCT06588296, NCT06588283), head-to-head comparisons with Semaglutide (NCT05822830), and trials targeting weight maintenance and cardiovascular outcomes (NCT04657016, NCT05556512). All claims are directly evidenced by the retrieved trial data, and the answer comprehensively addresses the question about diversification beyond Tirzepatide."
A03,"Across the four companies, what types of primary outcomes are most commonly used in obesity trials?",analytical,retrieval,True,True,7,139,True,hybrid,False,False,10,0.0,0.5714285714285714,0.0,1.0,0.16666666666666666,10,1.0,1.0,True,False,1,1382.7,18194.7,20170.1,1769,189,18693.0,554.0,"The most common primary outcome types used in obesity trials across the four companies are weight-loss metrics, specifically percentage change in body weight and the proportion of participants achieving ≥5% body weight reduction.","[""NCT03811574"", ""NCT04184622"", ""NCT04251156"", ""NCT04667377"", ""NCT05035095"", ""NCT05616013"", ""NCT05931380"", ""NCT06858839"", ""NCT06987695"", ""NCT07662122""]","[""NCT04251156"", ""NCT05616013"", ""NCT06987695"", ""NCT07662122"", ""NCT03811574"", ""NCT04184622"", ""NCT06858839"", ""NCT04667377"", ""NCT05035095"", ""NCT05931380""]","[""NCT02527200"", ""NCT03574597"", ""NCT04184622"", ""NCT04667377"", ""NCT05035095"", ""NCT06439277"", ""NCT06858839""]",True,pass,pass,pass,pass,"The generated answer correctly identifies the most common primary outcome types (percentage change in body weight and proportion achieving ≥5% weight reduction) based on the retrieved evidence. All ten trials reported percentage change in body weight, and nine reported the ≥5% reduction metric. The answer is fully supported by the citations and addresses the question comprehensively without unsupported claims."
A04,"Which obesity programs appear to have the broadest clinical development footprints in this corpus, and what evidence supports that assessment?",analytical,hybrid,True,True,8,139,True,hybrid,True,False,10,0.0,0.0,0.0,0.0,0.0,7,1.0,1.0,True,True,2,1625.2,7421.2,10573.3,1773,291,30166.0,854.0,"Novo Nordisk and Eli Lilly appear to have the broadest clinical development footprints in obesity based on the retrieved evidence, with multiple Phase 3 trials across several distinct programs.","[""NCT04775082"", ""NCT05929066"", ""NCT06672549"", ""NCT06987695"", ""NCT07282600"", ""NCT07564414"", ""NCT07745504""]","[""NCT05616013"", ""NCT07564414"", ""NCT07745504"", ""NCT07282600"", ""NCT04775082"", ""NCT06987695"", ""NCT07639021"", ""NCT06683508"", ""NCT06672549"", ""NCT05929066""]","[""NCT02527200"", ""NCT02963922"", ""NCT03552757"", ""NCT05064735"", ""NCT06309992"", ""NCT06780449"", ""NCT06858839"", ""NCT06937086""]",True,pass,pass,pass,pass,"The answer correctly identifies Novo Nordisk and Eli Lilly as having the broadest clinical development footprints based on the structured analysis showing these companies have the highest trial counts (66 and 45 respectively) and active Phase 3 programs. The key findings are well-supported by the retrieved evidence citations, which show multiple Phase 3 trials for each company's distinct programs. The limitations section appropriately acknowledges corpus constraints and methodological constraints."
A05,How do obesity trials expand beyond weight-loss endpoints into cardiovascular or other clinical outcomes?,analytical,retrieval,True,True,4,139,True,retrieval,True,False,10,0.0,0.5,0.0,1.0,0.14285714285714285,5,1.0,1.0,True,True,2,1273.1,7159.5,8603.7,1767,181,22912.0,951.0,"Obesity trials are increasingly designed to evaluate cardiovascular and metabolic outcomes beyond weight loss, including heart failure outcomes, cardiovascular death, myocardial infarction, stroke, and changes in visceral adipose tissue. Trials also incorporate patient-reported outcomes such as health-related quality of life (SF-36v2) and obesity-specific quality of life (IWQoL-Lite-CT), and evaluate lipid, glucose, and liver disease parameters (e.g., improvements in hyperlipidemia, insulin glucose tolerance, and non-alcoholic fatty liver disease). Blood pressure monitoring and changes in systolic/diastolic blood pressure are included as secondary endpoints in several trials, reflecting cardiovascular risk assessment.","[""NCT04667377"", ""NCT04844918"", ""NCT04847557"", ""NCT05616013"", ""NCT05931380""]","[""NCT05616013"", ""NCT05931380"", ""NCT04667377"", ""NCT06124807"", ""NCT04660643"", ""NCT03811574"", ""NCT04847557"", ""NCT04844918"", ""NCT03574597"", ""NCT06230523""]","[""NCT03574597"", ""NCT04847557"", ""NCT05929066"", ""NCT06309992""]",True,pass,pass,pass,pass,"The generated answer accurately reflects the evidence from the retrieved trials. It correctly identifies that obesity trials are expanding beyond weight-loss endpoints to include cardiovascular outcomes (e.g., heart failure, CV death, MI, stroke), metabolic outcomes (visceral adipose tissue changes, lipid/glucose/liver parameters), patient-reported outcomes (SF-36v2, IWQoL-Lite-CT), and blood pressure monitoring. All claims are supported by the cited NCT IDs, and the answer comprehensively addresses the question with no unsupported inferences or omissions."
A06,How does Amgen's obesity development strategy differ from the larger Novo Nordisk and Eli Lilly portfolios in this dataset?,analytical,hybrid,True,True,5,132,True,hybrid,True,False,10,0.2,0.2,1.0,1.0,1.0,4,1.0,1.0,True,False,1,1440.5,4596.3,6664.0,1773,207,14288.0,451.0,"Amgen's obesity strategy focuses exclusively on Maridebart cafraglutide with a narrow Phase 3 trial footprint, while Novo Nordisk and Eli Lilly pursue broader portfolios with multiple Phase 3 programs and larger trial counts.","[""NCT02527200"", ""NCT04775082"", ""NCT06373146"", ""NCT06439277""]","[""NCT06858839"", ""NCT02527200"", ""NCT06439277"", ""NCT06987695"", ""NCT04775082"", ""NCT06373146"", ""NCT05669599"", ""NCT02918279"", ""NCT05051579"", ""NCT07575399""]","[""NCT02453711"", ""NCT04847557"", ""NCT06388187"", ""NCT06780449"", ""NCT06858839""]",True,pass,pass,pass,pass,"The answer correctly identifies Amgen's exclusive focus on Maridebart cafraglutide versus the broader portfolios of Novo Nordisk and Eli Lilly, supported by structured data on trial counts and phases. The key findings are well-grounded: Amgen's higher median enrollment reflects its focus on larger Phase 3 studies, while Novo Nordisk's pediatric/adolescent Liraglutide trials and Eli Lilly's Tirzepatide adolescent study and combination therapy trial demonstrate portfolio breadth. Citations appropriately support the evidence-based claims. All limitations are properly acknowledged."
