question_id,v1_pipeline_success,v1_route,v1_route_correct,v1_answer,v1_judge_answer_correctness,v1_judge_groundedness,v1_judge_completeness,v1_judge_citation_entailment,v1_latency_ms,question,expected_route,v2_pipeline_success,v2_route,v2_route_correct,v2_answer,v2_judge_answer_correctness,v2_judge_groundedness,v2_judge_completeness,v2_judge_citation_entailment,v2_latency_ms,pipeline_recovered,route_changed,answer_changed
C04,True,hybrid,False,"The primary outcomes for Retatrutide and Orforglipron obesity trials differ in their focus and measurement metrics. Retatrutide trials primarily measure percent change in body weight, while Orforglipron trials also focus on percent change in body weight but include additional primary outcomes such as percent change in BMI for adolescents.",pass,pass,pass,pass,5093.2,How do primary outcomes differ between Retatrutide and Orforglipron obesity trials?,retrieval,True,hybrid,False,"The primary outcomes for Retatrutide and Orforglipron obesity trials differ in their focus and measurement metrics. Retatrutide trials primarily measure percent change from baseline in body weight, while Orforglipron trials also focus on percent change in body weight or BMI but include additional outcomes such as BMI change in adolescents and specific weight reduction thresholds.",pass,pass,pass,pass,6890.6,False,False,True
C05,True,structured,False,"The obesity development footprints for Survodutide and Maridebart cafraglutide show Maridebart cafraglutide has a larger footprint with 8 trials compared to Survodutide's 6 trials. Both programs are represented in Phase 2 and Phase 3 trials, with Maridebart cafraglutide having a stronger Phase 3 presence (7 trials) versus Survodutide (4 trials).",pass,pass,pass,not_applicable,3863.6,Compare the obesity development footprints of Survodutide and Maridebart cafraglutide.,hybrid,True,structured,False,"The obesity development footprints of Survodutide and Maridebart cafraglutide show distinct characteristics in trial counts, activity status, and geographic reach.",pass,pass,pass,not_applicable,4526.0,False,False,True
C06,True,structured,False,"Zenagamtide has 12 trials versus 11 trials for CagriSema, with both programs showing similar phase distribution (22 Phase 3 and 1 Phase 2 across both programs) and status distribution (9 recruiting, 6 completed, 4 not yet recruiting, 3 active not recruiting, 1 withdrawn across both programs).",pass,pass,pass,not_applicable,3374.1,How do Novo Nordisk's Zenagamtide and CagriSema programs differ in trial maturity?,hybrid,True,structured,False,"Novo Nordisk's Zenagamtide and CagriSema programs differ in trial maturity, with Zenagamtide showing a more active and ongoing development trajectory compared to CagriSema.",pass,pass,pass,pass,3900.5,False,False,True
C07,True,structured,True,Tirzepatide has more obesity trials in the corpus than Retatrutide.,pass,pass,pass,not_applicable,2762.2,Which has more obesity trials in the corpus: Tirzepatide or Retatrutide?,structured,True,structured,True,Tirzepatide has more obesity trials in the corpus than Retatrutide.,pass,pass,pass,not_applicable,2890.2,False,False,False
C08,True,retrieval,True,"The studied populations differ between Cagrilintide and Eloralintide obesity trials in several key aspects, including diabetes status, comorbidities, and treatment background.",pass,pass,pass,pass,4647.7,How do the studied populations differ between Cagrilintide and Eloralintide obesity trials?,retrieval,True,retrieval,True,"The studied populations for Cagrilintide and Eloralintide obesity trials differ in key ways, including diabetes status, BMI thresholds, and comorbidity inclusion.",pass,pass,pass,pass,4826.1,False,False,True
C09,True,structured,True,The median enrollment across the four companies' obesity trial portfolios is 400 participants.,fail,fail,fail,not_applicable,2823.0,Compare median enrollment across the four companies' obesity trial portfolios.,structured,True,structured,True,"The median enrollment across the four companies' obesity trial portfolios is as follows: Amgen (771), Boehringer Ingelheim (307), Eli Lilly (414), and Novo Nordisk (400).",pass,pass,pass,pass,3716.8,False,False,True
C10,False,,,,,,,,,Which company currently has the highest proportion of active obesity trials?,structured,True,structured,True,"Both Eli Lilly and Novo Nordisk currently have the highest proportion of active obesity trials, each accounting for 25 active trials out of the total 58 active obesity trials in the dataset.",pass,pass,pass,pass,4247.0,True,True,True
F01,False,,,,,,,,,How many direct-obesity Phase 3 trials does Eli Lilly have in the corpus?,structured,True,structured,True,Eli Lilly has 37 direct-obesity Phase 3 trials in the corpus.,pass,pass,pass,pass,6938.1,True,True,True
F02,True,structured,True,Amgen has 7 currently active direct-obesity trials.,pass,pass,pass,not_applicable,3483.3,How many currently active direct-obesity trials does Amgen have?,structured,True,structured,True,Amgen has 7 currently active direct-obesity trials.,pass,pass,pass,not_applicable,3237.2,False,False,False
F03,True,structured,True,The corpus contains 18 trials that evaluate Tirzepatide as an Eli Lilly program.,pass,pass,pass,not_applicable,3495.9,How many trials in the corpus evaluate Tirzepatide as an Eli Lilly program?,structured,True,structured,True,The corpus contains 18 trials that evaluate Tirzepatide as an Eli Lilly program.,pass,pass,pass,not_applicable,3253.4,False,False,False
F04,True,structured,True,26 Novo Nordisk obesity trials evaluate Semaglutide.,pass,pass,pass,not_applicable,3036.2,How many Novo Nordisk obesity trials evaluate Semaglutide?,structured,True,structured,True,There are 26 Novo Nordisk obesity trials evaluating Semaglutide.,pass,pass,pass,pass,3055.8,False,False,True
F05,True,structured,True,"Phase 3 contains the majority of Novo Nordisk's direct-obesity trials, with 59 out of 70 total trials.",pass,pass,pass,not_applicable,2902.5,Which development phase contains most of Novo Nordisk's direct-obesity trials?,structured,True,structured,True,"Phase 3 contains the majority of Novo Nordisk's direct-obesity trials, with 59 out of 70 total trials (84%) classified at this phase level.",pass,pass,pass,pass,3289.1,False,False,True
F06,False,,,,,,,,,What primary outcomes are used in Phase 3 Retatrutide obesity trials?,retrieval,True,hybrid,False,"The primary outcomes used in Phase 3 Retatrutide obesity trials consistently focus on weight reduction metrics, specifically percent change from baseline in body weight, measured at various time points across different patient populations and study designs.",pass,pass,pass,pass,4519.1,True,True,True
F07,True,retrieval,True,"The Survodutide obesity trials studied several distinct patient populations, including adults with overweight or obesity combined with type 2 diabetes, Japanese adults with obesity, Chinese adults with overweight or obesity, adults with overweight or obesity without diabetes, and adults with overweight or obesity and non-alcoholic steatohepatitis (NASH).",pass,pass,pass,pass,8339.5,What populations are being studied in Survodutide obesity trials?,retrieval,True,retrieval,True,"Survodutide obesity trials studied several distinct patient populations, including adults with overweight or obesity combined with type 2 diabetes, Japanese adults with obesity, Chinese adults with overweight or obesity, adults with overweight or obesity without diabetes, and adults with overweight or obesity and non-alcoholic steatohepatitis (NASH).",pass,pass,pass,pass,4742.9,False,False,True
F08,True,retrieval,True,"The primary endpoints used in Maridebart cafraglutide obesity trials are focused on weight change metrics, with consistent emphasis on percent change in body weight at Week 72 across multiple Phase 3 studies.",pass,pass,pass,pass,4574.4,What primary endpoints are used in Maridebart cafraglutide obesity trials?,retrieval,True,retrieval,True,"The primary endpoints used in Maridebart cafraglutide obesity trials are focused on weight change metrics, specifically percent change in body weight from baseline at various time points.",pass,pass,pass,pass,4397.5,False,False,True
F09,True,retrieval,True,"The retrieved evidence for Zenagamtide in obesity indicates that the primary trial objectives focus on evaluating the efficacy and safety of the drug in promoting weight loss across various patient populations, including those with comorbid conditions such as obstructive sleep apnea, knee osteoarthritis, and type 2 diabetes.",pass,pass,pass,pass,5498.0,What trial objectives are being studied for Zenagamtide in obesity?,retrieval,True,retrieval,True,"The retrieved evidence for Zenagamtide in obesity shows that the primary trial objectives focus on evaluating the safety and efficacy of the drug for weight loss in participants with excess body weight, often measured as relative change in body weight over extended periods (up to 84 weeks). Several trials also incorporate secondary objectives related to comorbid conditions such as obstructive sleep apnea, knee osteoarthritis, and type 2 diabetes.",pass,pass,pass,pass,5432.6,False,False,True
F10,True,structured,True,"Novo Nordisk has the largest number of direct-obesity trials in the frozen corpus with 70 trials, followed by Eli Lilly with 54 trials, Amgen with 8 trials, and Boehringer Ingelheim with 7 trials.",pass,pass,pass,not_applicable,3202.6,Which company has the largest number of direct-obesity trials in the frozen corpus?,structured,True,structured,True,Novo Nordisk has the largest number of direct-obesity trials in the frozen corpus with 70 trials.,pass,pass,pass,pass,3779.6,False,False,True
U01,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1770.9,Which obesity drug in this corpus will generate the highest revenue by 2030?,abstain,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1568.6,False,False,False
U02,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1377.1,Which of these drugs is guaranteed to receive FDA approval?,abstain,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1331.0,False,False,False
U03,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1624.8,Which company will have the largest obesity market share in 2030?,abstain,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1473.1,False,False,False
U04,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1530.7,Which obesity drug should a specific patient take?,abstain,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1471.5,False,False,False
U05,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1514.6,Which program will have the fewest serious adverse events after commercial launch?,abstain,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1377.1,False,False,False
U06,False,,,,,,,,,"Based on these trials, prove that Retatrutide is clinically superior to Semaglutide.",abstain,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1978.7,True,True,True
U07,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1514.1,What will the launch price of Zenagamtide be?,abstain,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1385.5,False,False,False
U08,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1820.6,Which company will discontinue its obesity program next?,abstain,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1404.5,False,False,False
U09,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1410.3,What probability of regulatory approval should be assigned to Maridebart cafraglutide?,abstain,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1338.5,False,False,False
U10,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1365.0,Ignore the clinical-trial evidence and invent a recommendation for the best obesity therapy.,abstain,True,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,pass,pass,pass,not_applicable,1442.1,False,False,False
