question_id,question,question_type,expected_route,actual_route,route_correct,answer_text,used_citations,gold_evidence_nct_ids,judge_answer_correctness,judge_groundedness,judge_completeness,judge_citation_entailment,judge_notes,human_answer_correctness,human_groundedness,human_completeness,human_citation_entailment,human_notes
C01,Compare the number of Phase 3 direct-obesity trials run by Novo Nordisk and Eli Lilly.,comparative,structured,structured,True,Novo Nordisk ran 59 Phase 3 direct-obesity trials versus Eli Lilly's 37 Phase 3 direct-obesity trials.,[],[],pass,pass,pass,pass,"The answer correctly states that Novo Nordisk ran 59 Phase 3 direct-obesity trials versus Eli Lilly's 37 Phase 3 direct-obesity trials, directly supported by the structured analysis under company_breakdown. All claims are fully grounded and the answer addresses the comparison question completely. No citations are required as per the structured analysis context.",,,,,
C02,Compare the active share of obesity trials for Amgen and Novo Nordisk.,comparative,structured,structured,True,"Both Amgen and Novo Nordisk have an active share of 100% in their obesity trials, meaning all trials for each company are currently active.",[],[],pass,pass,pass,pass,"The answer correctly states that both Amgen and Novo Nordisk have an active share of 100% in their obesity trials, as supported by the structured analysis. The analysis shows that Amgen has 7 active trials (all active) and Novo Nordisk has 25 active trials (all active), resulting in 100% active share for both companies. The answer is complete, accurate, and well-supported by the provided data. No citations are required as per the structured analysis.",,,,,
C03,How do Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives?,comparative,hybrid,hybrid,True,"Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives. Tirzepatide has fewer trials (18) but a higher proportion of active trials (33% active share) compared to Semaglutide (26 trials, 8% active share). Tirzepatide trials show a broader focus on weight maintenance and adolescent populations, while Semaglutide trials emphasize long-term weight loss and maintenance in adults with obesity or overweight.","[""NCT03548987"", ""NCT03693430"", ""NCT04184622"", ""NCT04660643"", ""NCT04844918"", ""NCT05822830"", ""NCT06041217"", ""NCT06439277""]","[""NCT03548935"", ""NCT03574597"", ""NCT04847557"", ""NCT04916470"", ""NCT05064735"", ""NCT06937086""]",pass,pass,pass,pass,The answer correctly identifies the difference in trial counts (18 vs 26) and active trial shares (33% vs 8%) between Tirzepatide and Semaglutide programs using structured data. It accurately notes Tirzepatide's focus on weight maintenance and adolescents (supported by NCT06439277 and NCT04660643) and Semaglutide's emphasis on long-term weight loss. The claim about comparative efficacy (NCT05822830) is also well-supported. All citations align with the evidence provided.,,,,,
C04,How do primary outcomes differ between Retatrutide and Orforglipron obesity trials?,comparative,retrieval,hybrid,False,"The primary outcomes for Retatrutide and Orforglipron obesity trials differ in their focus and measurement metrics. Retatrutide trials primarily measure percent change from baseline in body weight, while Orforglipron trials also focus on percent change in body weight or BMI but include additional outcomes such as BMI change in adolescents and specific weight reduction thresholds.","[""NCT05869903"", ""NCT05872620"", ""NCT05929066"", ""NCT05931380"", ""NCT06672939"", ""NCT06859268"", ""NCT06972459"", ""NCT07035093"", ""NCT07232719"", ""NCT07357415""]","[""NCT05869903"", ""NCT05929066"", ""NCT05931367"", ""NCT05931380"", ""NCT06672939"", ""NCT07035093""]",pass,pass,pass,pass,"The answer correctly identifies the primary outcome differences between Retatrutide and Orforglipron obesity trials based on the retrieved evidence. It accurately states that Retatrutide trials primarily measure percent change from baseline in body weight, while Orforglipron trials also focus on percent change in body weight or BMI but include additional outcomes such as BMI change in adolescents and specific weight reduction thresholds. The citations provided support these claims, with each key finding having appropriate supporting evidence from the retrieved trials. The limitations section appropriately acknowledges the constraints of the analysis.",,,,,
C05,Compare the obesity development footprints of Survodutide and Maridebart cafraglutide.,comparative,hybrid,structured,False,"The obesity development footprints of Survodutide and Maridebart cafraglutide show distinct characteristics in trial counts, activity status, and geographic reach.",[],"[""NCT04667377"", ""NCT05669599"", ""NCT06066515"", ""NCT06066528"", ""NCT06309992"", ""NCT06858839"", ""NCT07441252"", ""NCT07684235""]",pass,pass,pass,not_applicable,"The answer correctly compares the obesity development footprints of Survodutide and Maridebart cafraglutide using the provided structured analysis. It accurately reports trial counts, activity status, phase distribution, enrollment sizes, and geographic reach based on the data. All claims are supported by the structured analysis without requiring external citations, as the analysis explicitly states that citations are not required for this type of descriptive comparison. The answer is complete and addresses all aspects of the question using the available evidence.",,,,,
C06,How do Novo Nordisk's Zenagamtide and CagriSema programs differ in trial maturity?,comparative,hybrid,structured,False,"Novo Nordisk's Zenagamtide and CagriSema programs differ in trial maturity, with Zenagamtide showing a more active and ongoing development trajectory compared to CagriSema.",[],"[""NCT06064006"", ""NCT07339423"", ""NCT07357766"", ""NCT07400107"", ""NCT07564414"", ""NCT07668401""]",pass,pass,pass,pass,"The answer correctly identifies differences in trial maturity between Zenagamtide and CagriSema using structured analysis data. Key findings accurately reflect the active trial counts, phase distributions, and start year ranges from the provided breakdown. All claims are directly supported by the structured data without overgeneralization. The answer is complete and adheres to the limitations noted in the structured analysis.",,,,,
C07,Which has more obesity trials in the corpus: Tirzepatide or Retatrutide?,comparative,structured,structured,True,Tirzepatide has more obesity trials in the corpus than Retatrutide.,[],[],pass,pass,pass,not_applicable,"The answer correctly states that Tirzepatide has more obesity trials (18) than Retatrutide (10) based on the structured analysis. All claims are directly supported by the provided data. No citations are required as per the structured analysis context, and the limitations are appropriately included.",,,,,
C08,How do the studied populations differ between Cagrilintide and Eloralintide obesity trials?,comparative,retrieval,retrieval,True,"The studied populations for Cagrilintide and Eloralintide obesity trials differ in key ways, including diabetes status, BMI thresholds, and comorbidity inclusion.","[""NCT07220759"", ""NCT07282600"", ""NCT07321886"", ""NCT07353931"", ""NCT07369011"", ""NCT07392190"", ""NCT07745504""]","[""NCT07220759"", ""NCT07253285"", ""NCT07282600"", ""NCT07321886"", ""NCT07353931"", ""NCT07369011"", ""NCT07392190"", ""NCT07745504""]",pass,pass,pass,pass,"The answer correctly identifies key differences in studied populations between Cagrilintide and Eloralintide obesity trials based on retrieved evidence. It accurately notes differences in diabetes status inclusion (Cagrilintide requires T2D in one trial while Eloralintide includes both with and without T2D), BMI thresholds (Cagrilintide has specific tiers while Eloralintide focuses on obesity/overweight), and comorbidity inclusion (Eloralintide includes osteoarthritis knee pain and obstructive sleep apnea populations not represented in Cagrilintide evidence). All claims are supported by the cited NCT IDs and the evidence retrieval aligns with the question scope. The limitations section appropriately acknowledges corpus constraints and cross-trial comparison caveats.",,,,,
C09,Compare median enrollment across the four companies' obesity trial portfolios.,comparative,structured,structured,True,"The median enrollment across the four companies' obesity trial portfolios is as follows: Amgen (771), Boehringer Ingelheim (307), Eli Lilly (414), and Novo Nordisk (400).",[],[],pass,pass,pass,pass,"The answer correctly extracts and reports the median enrollment values for each company's obesity trial portfolio from the structured analysis. The values (Amgen: 771, Boehringer Ingelheim: 307, Eli Lilly: 414, Novo Nordisk: 400) are directly taken from the 'company_breakdown' section of the structured analysis. All claims are supported, and the answer fully addresses the question by comparing median enrollment across the four companies. No unsupported claims or omissions are present. Citation entailment is 'pass' because while no citations are provided in the answer, the support type is correctly noted as 'structured', and the evidence is entirely derived from the supplied structured analysis.",,,,,
C10,Which company currently has the highest proportion of active obesity trials?,comparative,structured,structured,True,"Both Eli Lilly and Novo Nordisk currently have the highest proportion of active obesity trials, each accounting for 25 active trials out of the total 58 active obesity trials in the dataset.",[],[],pass,pass,pass,pass,"The answer correctly identifies that both Eli Lilly and Novo Nordisk have the highest proportion of active obesity trials (25 each out of 58 total), which is directly supported by the structured analysis data. The answer includes all required elements: total trial count, company-specific counts and proportions, and appropriate limitations. The citation_entailment is pass because while no explicit citations are provided in the evidence, the answer is derived entirely from the supplied structured analysis data, which meets the criteria for structured support.",,,,,
A01,What does the trial evidence suggest about how Novo Nordisk's obesity pipeline has evolved from established products toward newer programs?,analytical,hybrid,hybrid,True,"The trial evidence shows Novo Nordisk's obesity pipeline has evolved from established Liraglutide use toward newer Semaglutide and emerging programs like Retatrutide and Survodutide, with progression indicated by comparative trials and newer program entries.","[""NCT00781937"", ""NCT01511198"", ""NCT02453711"", ""NCT03552757"", ""NCT04074161"", ""NCT05882045"", ""NCT06066515"", ""NCT06176365"", ""NCT07232719""]","[""NCT01272232"", ""NCT03548935"", ""NCT06131437"", ""NCT06780449"", ""NCT07509307""]",pass,pass,pass,pass,"The generated answer correctly identifies the evolution of Novo Nordisk's obesity pipeline from Liraglutide to Semaglutide and newer programs like Retatrutide and Survodutide. The key findings are well-supported by the cited trials: Liraglutide's established role (NCT00781937, NCT01511198), Semaglutide's comparative advantage (NCT04074161, NCT03552757, NCT02453711), and the emergence of Retatrutide and Survodutide (NCT05882045, NCT06176365, NCT06066515, NCT07232719). The answer accurately reflects the progression indicated by trial phases, timelines, and program focus without overclaiming superiority. All citations align with the narrative claims.",,,,,
A02,What does the trial portfolio suggest about how Eli Lilly is diversifying beyond Tirzepatide?,analytical,hybrid,hybrid,True,The trial portfolio indicates that Eli Lilly is diversifying beyond Tirzepatide by exploring combination therapies and expanding into adjacent therapeutic areas where obesity is a comorbidity.,"[""NCT04657016"", ""NCT05556512"", ""NCT05822830"", ""NCT06588283"", ""NCT06588296""]","[""NCT04184622"", ""NCT05872620"", ""NCT06143956"", ""NCT06603571"", ""NCT06662383"", ""NCT07215559""]",pass,pass,pass,pass,"The answer correctly identifies Eli Lilly's diversification strategies beyond Tirzepatide based on the trial portfolio. The key findings are well-supported by the cited trials: combination therapies with Ixekizumab (NCT06588296, NCT06588283), head-to-head comparisons with Semaglutide (NCT05822830), and trials targeting weight maintenance and cardiovascular outcomes (NCT04657016, NCT05556512). All claims are directly evidenced by the retrieved trial data, and the answer comprehensively addresses the question about diversification beyond Tirzepatide.",,,,,
A03,"Across the four companies, what types of primary outcomes are most commonly used in obesity trials?",analytical,retrieval,hybrid,False,"The most common primary outcome types used in obesity trials across the four companies are weight-loss metrics, specifically percentage change in body weight and the proportion of participants achieving ≥5% body weight reduction.","[""NCT03811574"", ""NCT04184622"", ""NCT04251156"", ""NCT04667377"", ""NCT05035095"", ""NCT05616013"", ""NCT05931380"", ""NCT06858839"", ""NCT06987695"", ""NCT07662122""]","[""NCT02527200"", ""NCT03574597"", ""NCT04184622"", ""NCT04667377"", ""NCT05035095"", ""NCT06439277"", ""NCT06858839""]",pass,pass,pass,pass,"The generated answer correctly identifies the most common primary outcome types (percentage change in body weight and proportion achieving ≥5% weight reduction) based on the retrieved evidence. All ten trials reported percentage change in body weight, and nine reported the ≥5% reduction metric. The answer is fully supported by the citations and addresses the question comprehensively without unsupported claims.",,,,,
A04,"Which obesity programs appear to have the broadest clinical development footprints in this corpus, and what evidence supports that assessment?",analytical,hybrid,hybrid,True,"Novo Nordisk and Eli Lilly appear to have the broadest clinical development footprints in obesity based on the retrieved evidence, with multiple Phase 3 trials across several distinct programs.","[""NCT04775082"", ""NCT05929066"", ""NCT06672549"", ""NCT06987695"", ""NCT07282600"", ""NCT07564414"", ""NCT07745504""]","[""NCT02527200"", ""NCT02963922"", ""NCT03552757"", ""NCT05064735"", ""NCT06309992"", ""NCT06780449"", ""NCT06858839"", ""NCT06937086""]",pass,pass,pass,pass,"The answer correctly identifies Novo Nordisk and Eli Lilly as having the broadest clinical development footprints based on the structured analysis showing these companies have the highest trial counts (66 and 45 respectively) and active Phase 3 programs. The key findings are well-supported by the retrieved evidence citations, which show multiple Phase 3 trials for each company's distinct programs. The limitations section appropriately acknowledges corpus constraints and methodological constraints.",,,,,
A05,How do obesity trials expand beyond weight-loss endpoints into cardiovascular or other clinical outcomes?,analytical,retrieval,retrieval,True,"Obesity trials are increasingly designed to evaluate cardiovascular and metabolic outcomes beyond weight loss, including heart failure outcomes, cardiovascular death, myocardial infarction, stroke, and changes in visceral adipose tissue. Trials also incorporate patient-reported outcomes such as health-related quality of life (SF-36v2) and obesity-specific quality of life (IWQoL-Lite-CT), and evaluate lipid, glucose, and liver disease parameters (e.g., improvements in hyperlipidemia, insulin glucose tolerance, and non-alcoholic fatty liver disease). Blood pressure monitoring and changes in systolic/diastolic blood pressure are included as secondary endpoints in several trials, reflecting cardiovascular risk assessment.","[""NCT04667377"", ""NCT04844918"", ""NCT04847557"", ""NCT05616013"", ""NCT05931380""]","[""NCT03574597"", ""NCT04847557"", ""NCT05929066"", ""NCT06309992""]",pass,pass,pass,pass,"The generated answer accurately reflects the evidence from the retrieved trials. It correctly identifies that obesity trials are expanding beyond weight-loss endpoints to include cardiovascular outcomes (e.g., heart failure, CV death, MI, stroke), metabolic outcomes (visceral adipose tissue changes, lipid/glucose/liver parameters), patient-reported outcomes (SF-36v2, IWQoL-Lite-CT), and blood pressure monitoring. All claims are supported by the cited NCT IDs, and the answer comprehensively addresses the question with no unsupported inferences or omissions.",,,,,
A06,How does Amgen's obesity development strategy differ from the larger Novo Nordisk and Eli Lilly portfolios in this dataset?,analytical,hybrid,hybrid,True,"Amgen's obesity strategy focuses exclusively on Maridebart cafraglutide with a narrow Phase 3 trial footprint, while Novo Nordisk and Eli Lilly pursue broader portfolios with multiple Phase 3 programs and larger trial counts.","[""NCT02527200"", ""NCT04775082"", ""NCT06373146"", ""NCT06439277""]","[""NCT02453711"", ""NCT04847557"", ""NCT06388187"", ""NCT06780449"", ""NCT06858839""]",pass,pass,pass,pass,"The answer correctly identifies Amgen's exclusive focus on Maridebart cafraglutide versus the broader portfolios of Novo Nordisk and Eli Lilly, supported by structured data on trial counts and phases. The key findings are well-grounded: Amgen's higher median enrollment reflects its focus on larger Phase 3 studies, while Novo Nordisk's pediatric/adolescent Liraglutide trials and Eli Lilly's Tirzepatide adolescent study and combination therapy trial demonstrate portfolio breadth. Citations appropriately support the evidence-based claims. All limitations are properly acknowledged.",,,,,
A07,What evidence shows obesity programs being evaluated in distinct patient subpopulations or obesity-related clinical contexts?,analytical,retrieval,retrieval,True,"Evidence shows obesity programs being evaluated in distinct patient subpopulations or obesity-related clinical contexts, including trials focused on participants with elevated liver fat, type 2 diabetes, and East Asian populations.","[""NCT05813925"", ""NCT07030868"", ""NCT07441252""]","[""NCT02527200"", ""NCT03552757"", ""NCT04788511"", ""NCT06066528"", ""NCT06858839""]",pass,pass,pass,pass,"The answer correctly identifies three distinct subpopulations/contexts from the evidence: East Asian populations (NCT05813925), elevated liver fat comorbidity (NCT07441252), and type 2 diabetes comorbidity (NCT07030868). The citations directly support these claims, and the answer accurately reflects the retrieved evidence without overgeneralization. All required elements (answer, key findings, limitations) are present and properly aligned with the evidence.",,,,,
A08,"What does the current trial-status mix suggest about the maturity of Amgen, Boehringer Ingelheim, Eli Lilly and Novo Nordisk obesity portfolios?",analytical,hybrid,structured,False,"The current trial-status mix across Amgen, Boehringer Ingelheim, Eli Lilly, and Novo Nordisk suggests varying levels of portfolio maturity, with Novo Nordisk and Eli Lilly showing the most advanced and active development pipelines, while Amgen and Boehringer Ingelheim have smaller, less active portfolios.",[],"[""NCT04667377"", ""NCT05929066"", ""NCT06066528"", ""NCT06388187"", ""NCT06780449"", ""NCT07369011"", ""NCT07684235""]",pass,pass,pass,not_applicable,The answer correctly interprets the structured analysis data to characterize portfolio maturity based on trial counts and active trial shares. It accurately reflects the relative sizes and activity levels of each company's obesity portfolio as presented in the structured analysis. No citations are required as the answer is derived directly from the provided structured data without needing external evidence.,,,,,
A09,How diverse are the trial populations and geographies represented in the major obesity programs?,analytical,retrieval,hybrid,False,"The major obesity programs demonstrate considerable geographic and demographic diversity in their trial populations, with participation spanning multiple continents and a wide range of countries. Trials were conducted across 51 unique countries, with the United States being the most common site, followed by Canada, Poland, Germany, and the United Kingdom. Additional participation was noted in countries such as Spain, Argentina, Puerto Rico, Japan, and Australia. This broad geographic representation suggests efforts to include diverse populations in these clinical studies.","[""NCT03856047"", ""NCT04881760"", ""NCT05616013"", ""NCT05931380"", ""NCT06683508"", ""NCT06987695"", ""NCT07011667"", ""NCT07184632"", ""NCT07369011"", ""NCT07745504""]","[""NCT01272219"", ""NCT04916470"", ""NCT05929066"", ""NCT05931380"", ""NCT06066528"", ""NCT06858839""]",pass,pass,pass,pass,"The answer correctly identifies the geographic diversity of trial populations across 51 unique countries, with the United States as the most common site followed by Canada, Poland, Germany, and the United Kingdom. The citations provided (NCT IDs) support the claim about participation in countries such as Spain, Argentina, Puerto Rico, Japan, and Australia. The answer also notes the inclusion of both male and female participants, which is consistent with the eligibility criteria in the cited trials. The limitations section appropriately acknowledges the constraints of the data source and the descriptive nature of the analysis.",,,,,
A10,"What are the main differences in clinical-development breadth between Semaglutide, Tirzepatide, Retatrutide and Maridebart cafraglutide in this corpus?",analytical,hybrid,structured,False,"The main differences in clinical-development breadth between Semaglutide, Tirzepatide, Retatrutide and Maridebart cafraglutide are reflected in their trial counts, active trial shares, and phase distributions.",[],"[""NCT03548935"", ""NCT05822830"", ""NCT05929066"", ""NCT06662383"", ""NCT06858839"", ""NCT07441252""]",pass,pass,pass,not_applicable,"The generated answer correctly identifies and compares the clinical-development breadth metrics (trial counts, active trial shares, phase distributions) for all four compounds using the structured analysis data. All claims are directly supported by the primary_program_breakdown section of the structured analysis. No unsupported claims or misinterpretations are present. The answer is complete as it addresses all aspects of the question (breadth differences) with appropriate metrics.",,,,,
U01,Which obesity drug in this corpus will generate the highest revenue by 2030?,unanswerable,abstain,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,[],[],pass,pass,pass,not_applicable,"The generated answer correctly states that the question cannot be answered reliably from the current obesity clinical-trial corpus. The corpus only contains curated Phase 2 and Phase 3 trials and lacks market-revenue projections or commercial data needed to predict which obesity drug will generate the highest revenue by 2030. No citations are required or used, as the answer is a proper abstention based on the limitations of the provided evidence.",,,,,
U02,Which of these drugs is guaranteed to receive FDA approval?,unanswerable,abstain,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,[],[],pass,pass,pass,not_applicable,"The generated answer correctly states that the question cannot be answered reliably from the current obesity clinical-trial corpus. The corpus limitations are appropriately acknowledged, and no unsupported claims are made. No citations are required as the answer is a proper abstention.",,,,,
U03,Which company will have the largest obesity market share in 2030?,unanswerable,abstain,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,[],[],pass,pass,pass,not_applicable,The generated answer correctly states that the question cannot be answered reliably from the current obesity clinical-trial corpus. The corpus contains curated Phase 2 and Phase 3 obesity/overweight trials and may not represent the complete clinical-development landscape. No citations are required as the answer is a direct assessment of the corpus limitations.,,,,,
U04,Which obesity drug should a specific patient take?,unanswerable,abstain,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,[],[],pass,pass,pass,not_applicable,"The generated answer correctly states that the question cannot be answered reliably from the current obesity clinical-trial corpus. This is appropriate because the question asks for a personalized treatment recommendation, which requires clinical judgment and patient-specific factors not present in the provided evidence corpus. The answer acknowledges the corpus limitations and does not make unsupported claims. All evaluation criteria are satisfied.",,,,,
U05,Which program will have the fewest serious adverse events after commercial launch?,unanswerable,abstain,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,[],[],pass,pass,pass,not_applicable,"The generated answer correctly states that the question cannot be answered reliably from the current obesity clinical-trial corpus. The corpus only contains curated Phase 2 and Phase 3 trials and lacks post-commercial launch safety data required to assess serious adverse events. No citations are needed or provided, as the answer is a proper abstention due to data limitations.",,,,,
U06,"Based on these trials, prove that Retatrutide is clinically superior to Semaglutide.",unanswerable,abstain,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,[],[],pass,pass,pass,not_applicable,"The generated answer correctly states that the question cannot be answered reliably from the current obesity clinical-trial corpus. This is appropriate because the corpus does not contain comparative trials between Retatrutide and Semaglutide, and cross-trial comparisons cannot establish clinical superiority. The answer is both correct and grounded in the limitations of the available evidence.",,,,,
U07,What will the launch price of Zenagamtide be?,unanswerable,abstain,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,[],[],pass,pass,pass,not_applicable,"The generated answer correctly states that the launch price of Zenagamtide cannot be determined from the current obesity clinical-trial corpus. The evidence provided is appropriate, and the answer is both correct and complete within the constraints of the available data. No citations are required or provided, as the answer is a statement of inability to answer based on the corpus limitations.",,,,,
U08,Which company will discontinue its obesity program next?,unanswerable,abstain,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,[],[],pass,pass,pass,not_applicable,"The generated answer correctly states that the question cannot be answered reliably from the current obesity clinical-trial corpus. The answer is supported by the limitations statement acknowledging that the corpus contains curated Phase 2 and Phase 3 trials and may not represent the complete clinical-development landscape. There are no unsupported claims, and all aspects of the question are addressed.",,,,,
U09,What probability of regulatory approval should be assigned to Maridebart cafraglutide?,unanswerable,abstain,abstain,True,This question cannot be answered reliably from the current obesity clinical-trial corpus.,[],[],pass,pass,pass,not_applicable,"The generated answer correctly states that the probability of regulatory approval for Maridebart cafraglutide cannot be determined from the provided obesity clinical-trial corpus. The corpus is limited to curated Phase 2 and Phase 3 obesity/overweight trials and does not contain data on regulatory pathways, submission timelines, or approval probabilities for this specific compound. No citations are required or provided, as the answer is a proper abstention due to lack of relevant evidence.",,,,,
