question_id,question_type,route,question,companies,programs,answerable,gold_nct_ids,expected_answer_points,notes,gold_document_count
C01,comparative,structured,Compare the number of Phase 3 direct-obesity trials run by Novo Nordisk and Eli Lilly.,"[""Novo Nordisk"", ""Eli Lilly""]",[],True,"[""NCT00504673"", ""NCT00781937"", ""NCT01272219"", ""NCT01272232"", ""NCT02527200"", ""NCT02918279"", ""NCT02963922"", ""NCT02963935"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT04074161"", ""NCT04102189"", ""NCT04184622"", ""NCT04251156"", ""NCT04657003"", ""NCT04657016"", ""NCT04660643"", ""NCT04775082"", ""NCT04788511"", ""NCT04844918"", ""NCT04847557"", ""NCT04916470"", ""NCT04998136"", ""NCT05024032"", ""NCT05035095"", ""NCT05040971"", ""NCT05064735"", ""NCT05132088"", ""NCT05394519"", ""NCT05444153"", ""NCT05556512"", ""NCT05564117"", ""NCT05567796"", ""NCT05646706"", ""NCT05649137"", ""NCT05726227"", ""NCT05813925"", ""NCT05822830"", ""NCT05869903"", ""NCT05872620"", ""NCT05882045"", ""NCT05890976"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT05931380"", ""NCT05996848"", ""NCT06041217"", ""NCT06047548"", ""NCT06075667"", ""NCT06131437"", ""NCT06388187"", ""NCT06439277"", ""NCT06584916"", ""NCT06588283"", ""NCT06588296"", ""NCT06662383"", ""NCT06672549"", ""NCT06672939"", ""NCT06780449"", ""NCT06859268"", ""NCT06937086"", ""NCT06937099"", ""NCT06972459"", ""NCT07011667"", ""NCT07035093"", ""NCT07220642"", ""NCT07220759"", ""NCT07232719"", ""NCT07253285"", ""NCT07282600"", ""NCT07321886"", ""NCT07339423"", ""NCT07353931"", ""NCT07357415"", ""NCT07357766"", ""NCT07369011"", ""NCT07392190"", ""NCT07400107"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07564414"", ""NCT07571005"", ""NCT07571109"", ""NCT07668401"", ""NCT07668414"", ""NCT07720271"", ""NCT07745504"", ""NCT07770841""]",Report Phase 3 counts for both companies.,,96
C02,comparative,structured,Compare the active share of obesity trials for Amgen and Novo Nordisk.,"[""Amgen"", ""Novo Nordisk""]",[],True,"[""NCT00422058"", ""NCT00504673"", ""NCT00781937"", ""NCT01272219"", ""NCT01272232"", ""NCT01508949"", ""NCT01511198"", ""NCT02453711"", ""NCT02527200"", ""NCT02918279"", ""NCT02963922"", ""NCT02963935"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT03856047"", ""NCT04074161"", ""NCT04102189"", ""NCT04251156"", ""NCT04775082"", ""NCT04788511"", ""NCT04916470"", ""NCT04969939"", ""NCT04998136"", ""NCT05035095"", ""NCT05040971"", ""NCT05064735"", ""NCT05132088"", ""NCT05394519"", ""NCT05444153"", ""NCT05564117"", ""NCT05567796"", ""NCT05646706"", ""NCT05649137"", ""NCT05669599"", ""NCT05726227"", ""NCT05813925"", ""NCT05890976"", ""NCT05996848"", ""NCT06041217"", ""NCT06064006"", ""NCT06131437"", ""NCT06326060"", ""NCT06388187"", ""NCT06780449"", ""NCT06858839"", ""NCT06858878"", ""NCT06987695"", ""NCT07011667"", ""NCT07184632"", ""NCT07220642"", ""NCT07220759"", ""NCT07253285"", ""NCT07339423"", ""NCT07357766"", ""NCT07395687"", ""NCT07400107"", ""NCT07441252"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07564414"", ""NCT07571005"", ""NCT07571109"", ""NCT07575399"", ""NCT07639021"", ""NCT07668401"", ""NCT07668414"", ""NCT07684144"", ""NCT07684235"", ""NCT07720271"", ""NCT07745504"", ""NCT07770841""]",Compare active trials as a share of each company's direct-obesity corpus.,,78
C03,comparative,hybrid,How do Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives?,"[""Eli Lilly"", ""Novo Nordisk""]","[""Tirzepatide"", ""Semaglutide""]",True,"[""NCT02453711"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT04074161"", ""NCT04102189"", ""NCT04184622"", ""NCT04251156"", ""NCT04657003"", ""NCT04657016"", ""NCT04660643"", ""NCT04788511"", ""NCT04844918"", ""NCT04847557"", ""NCT04916470"", ""NCT04998136"", ""NCT05024032"", ""NCT05040971"", ""NCT05064735"", ""NCT05394519"", ""NCT05444153"", ""NCT05556512"", ""NCT05564117"", ""NCT05567796"", ""NCT05646706"", ""NCT05649137"", ""NCT05726227"", ""NCT05813925"", ""NCT05822830"", ""NCT05890976"", ""NCT05996848"", ""NCT06037252"", ""NCT06041217"", ""NCT06047548"", ""NCT06075667"", ""NCT06131437"", ""NCT06143956"", ""NCT06373146"", ""NCT06388187"", ""NCT06439277"", ""NCT06588283"", ""NCT06588296"", ""NCT06603571"", ""NCT06643728"", ""NCT06662383"", ""NCT06780449"", ""NCT06901349"", ""NCT06937086"", ""NCT06937099"", ""NCT07253285"", ""NCT07400107"", ""NCT07564414"", ""NCT07639021"", ""NCT07668414"", ""NCT07770841""]",Compare trial counts/stages and summarize differences in objectives without claiming cross-trial efficacy superiority.,,59
C04,comparative,retrieval,How do primary outcomes differ between Retatrutide and Orforglipron obesity trials?,"[""Eli Lilly""]","[""Retatrutide"", ""Orforglipron""]",True,"[""NCT04881760"", ""NCT05051579"", ""NCT05869903"", ""NCT05872620"", ""NCT05882045"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT05931380"", ""NCT06584916"", ""NCT06662383"", ""NCT06672549"", ""NCT06672939"", ""NCT06859268"", ""NCT06972459"", ""NCT07035093"", ""NCT07232719"", ""NCT07357415""]",Compare primary outcome patterns supported by the relevant trial records.,,18
C05,comparative,hybrid,Compare the obesity development footprints of Survodutide and Maridebart cafraglutide.,"[""Boehringer Ingelheim"", ""Amgen""]","[""Survodutide"", ""Maridebart cafraglutide""]",True,"[""NCT04667377"", ""NCT05669599"", ""NCT06066515"", ""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06309992"", ""NCT06858839"", ""NCT06858878"", ""NCT06987695"", ""NCT07441252"", ""NCT07575399"", ""NCT07684144"", ""NCT07684235""]","Compare trial counts, phases/status and populations/objectives.",,14
C06,comparative,hybrid,How do Novo Nordisk's Zenagamtide and CagriSema programs differ in trial maturity?,"[""Novo Nordisk""]","[""Zenagamtide"", ""CagriSema""]",True,"[""NCT06064006"", ""NCT07011667"", ""NCT07339423"", ""NCT07357766"", ""NCT07400107"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07564414"", ""NCT07571005"", ""NCT07571109"", ""NCT07668401"", ""NCT07668414"", ""NCT07720271""]","Compare phases, statuses, start dates and stated objectives.",,15
C07,comparative,structured,Which has more obesity trials in the corpus: Tirzepatide or Retatrutide?,"[""Eli Lilly""]","[""Tirzepatide"", ""Retatrutide""]",True,"[""NCT04184622"", ""NCT04657003"", ""NCT04657016"", ""NCT04660643"", ""NCT04844918"", ""NCT04847557"", ""NCT04881760"", ""NCT05024032"", ""NCT05556512"", ""NCT05822830"", ""NCT05882045"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT06037252"", ""NCT06047548"", ""NCT06075667"", ""NCT06143956"", ""NCT06373146"", ""NCT06439277"", ""NCT06588283"", ""NCT06588296"", ""NCT06603571"", ""NCT06643728"", ""NCT06662383"", ""NCT06859268"", ""NCT06901349"", ""NCT06937086"", ""NCT06937099"", ""NCT07035093"", ""NCT07232719"", ""NCT07357415""]",Compare normalized trial counts.,,32
C08,comparative,retrieval,How do the studied populations differ between Cagrilintide and Eloralintide obesity trials?,"[""Novo Nordisk"", ""Eli Lilly""]","[""Cagrilintide"", ""Eloralintide""]",True,"[""NCT05394519"", ""NCT05567796"", ""NCT05813925"", ""NCT05996848"", ""NCT06131437"", ""NCT06143956"", ""NCT06230523"", ""NCT06388187"", ""NCT06603571"", ""NCT06780449"", ""NCT07215559"", ""NCT07220642"", ""NCT07220759"", ""NCT07253285"", ""NCT07282600"", ""NCT07321886"", ""NCT07353931"", ""NCT07369011"", ""NCT07392190"", ""NCT07589608"", ""NCT07745504""]","Compare populations using conditions, eligibility criteria and study descriptions.",,21
C09,comparative,structured,Compare median enrollment across the four companies' obesity trial portfolios.,"[""Novo Nordisk"", ""Eli Lilly"", ""Amgen"", ""Boehringer Ingelheim""]",[],True,"[""NCT07684235"", ""NCT05669599"", ""NCT07441252"", ""NCT07684144"", ""NCT06858839"", ""NCT06858878"", ""NCT07575399"", ""NCT06987695"", ""NCT06176365"", ""NCT06309992"", ""NCT07662122"", ""NCT06214741"", ""NCT06066528"", ""NCT06066515"", ""NCT04667377"", ""NCT06672939"", ""NCT04184622"", ""NCT04657003"", ""NCT00630825"", ""NCT04847557"", ""NCT07369011"", ""NCT06439277"", ""NCT07589608"", ""NCT07321886"", ""NCT07035093"", ""NCT06859268"", ""NCT05024032"", ""NCT05616013"", ""NCT07357415"", ""NCT00993421"", ""NCT06584916"", ""NCT05929066"", ""NCT06972459"", ""NCT05931367"", ""NCT04881760"", ""NCT06373146"", ""NCT06603571"", ""NCT06937099"", ""NCT06075667"", ""NCT06230523"", ""NCT07030868"", ""NCT06672549"", ""NCT05822830"", ""NCT07215559"", ""NCT05051579"", ""NCT06143956"", ""NCT06683508"", ""NCT06037252"", ""NCT04657016"", ""NCT05929079"", ""NCT06124807"", ""NCT05931380"", ""NCT06662383"", ""NCT07353931"", ""NCT05872620"", ""NCT04660643"", ""NCT05556512"", ""NCT06047548"", ""NCT05869903"", ""NCT07392190"", ""NCT07282600"", ""NCT06643728"", ""NCT06588283"", ""NCT06937086"", ""NCT06588296"", ""NCT05882045"", ""NCT04844918"", ""NCT07232719"", ""NCT00422058"", ""NCT02963935"", ""NCT07770841"", ""NCT07571109"", ""NCT06064006"", ""NCT05890976"", ""NCT05040971"", ""NCT01272219"", ""NCT07720271"", ""NCT07400107"", ""NCT07220642"", ""NCT07184632"", ""NCT07745504"", ""NCT05813925"", ""NCT04998136"", ""NCT04916470"", ""NCT05564117"", ""NCT02963922"", ""NCT07639021"", ""NCT07509307"", ""NCT04969939"", ""NCT04074161"", ""NCT03552757"", ""NCT03856047"", ""NCT02453711"", ""NCT07668414"", ""NCT03548935"", ""NCT04102189"", ""NCT06780449"", ""NCT01511198"", ""NCT02527200"", ""NCT06041217"", ""NCT05394519"", ""NCT03693430"", ""NCT05064735"", ""NCT06388187"", ""NCT07533175"", ""NCT03548987"", ""NCT00504673"", ""NCT07011667"", ""NCT00781937"", ""NCT05649137"", ""NCT07339423"", ""NCT06326060"", ""NCT07220759"", ""NCT07503210"", ""NCT05567796"", ""NCT04775082"", ""NCT07253285"", ""NCT07571005"", ""NCT01272232"", ""NCT07668401"", ""NCT04788511"", ""NCT02918279"", ""NCT03611582"", ""NCT05726227"", ""NCT07481630"", ""NCT05035095"", ""NCT07395687"", ""NCT01508949"", ""NCT05132088"", ""NCT03574597"", ""NCT03811574"", ""NCT06131437"", ""NCT04251156"", ""NCT05646706"", ""NCT07564414"", ""NCT05996848""]",Compute company-level median enrollment after treating enrollment <=0 as missing.,,136
C10,comparative,structured,Which company currently has the highest proportion of active obesity trials?,"[""Novo Nordisk"", ""Eli Lilly"", ""Amgen"", ""Boehringer Ingelheim""]",[],True,"[""NCT07684235"", ""NCT05669599"", ""NCT07441252"", ""NCT07684144"", ""NCT06858839"", ""NCT06858878"", ""NCT07575399"", ""NCT06987695"", ""NCT06176365"", ""NCT06309992"", ""NCT07662122"", ""NCT06214741"", ""NCT06066528"", ""NCT06066515"", ""NCT04667377"", ""NCT06672939"", ""NCT04184622"", ""NCT04657003"", ""NCT00630825"", ""NCT04847557"", ""NCT07369011"", ""NCT06439277"", ""NCT07589608"", ""NCT07321886"", ""NCT07035093"", ""NCT06859268"", ""NCT05024032"", ""NCT05616013"", ""NCT07357415"", ""NCT00993421"", ""NCT06584916"", ""NCT05929066"", ""NCT06972459"", ""NCT05931367"", ""NCT04881760"", ""NCT06373146"", ""NCT06603571"", ""NCT06937099"", ""NCT06075667"", ""NCT06230523"", ""NCT07030868"", ""NCT06672549"", ""NCT05822830"", ""NCT07215559"", ""NCT05051579"", ""NCT06143956"", ""NCT06683508"", ""NCT06037252"", ""NCT04657016"", ""NCT05929079"", ""NCT06124807"", ""NCT05931380"", ""NCT06662383"", ""NCT07353931"", ""NCT05872620"", ""NCT04660643"", ""NCT05556512"", ""NCT06047548"", ""NCT05869903"", ""NCT07392190"", ""NCT07282600"", ""NCT06643728"", ""NCT06588283"", ""NCT06937086"", ""NCT06901349"", ""NCT06588296"", ""NCT05882045"", ""NCT04844918"", ""NCT07232719"", ""NCT00422058"", ""NCT02963935"", ""NCT07770841"", ""NCT07571109"", ""NCT06064006"", ""NCT05890976"", ""NCT05040971"", ""NCT01272219"", ""NCT07720271"", ""NCT07400107"", ""NCT07220642"", ""NCT07184632"", ""NCT07745504"", ""NCT05813925"", ""NCT04998136"", ""NCT04916470"", ""NCT05564117"", ""NCT02963922"", ""NCT07639021"", ""NCT07509307"", ""NCT04969939"", ""NCT04074161"", ""NCT03552757"", ""NCT03856047"", ""NCT02453711"", ""NCT07668414"", ""NCT03548935"", ""NCT04102189"", ""NCT06780449"", ""NCT01511198"", ""NCT02527200"", ""NCT06041217"", ""NCT05394519"", ""NCT03693430"", ""NCT05064735"", ""NCT07357766"", ""NCT06388187"", ""NCT07533175"", ""NCT03548987"", ""NCT00504673"", ""NCT07011667"", ""NCT00781937"", ""NCT05649137"", ""NCT07339423"", ""NCT06326060"", ""NCT07220759"", ""NCT07503210"", ""NCT05567796"", ""NCT04775082"", ""NCT07253285"", ""NCT07571005"", ""NCT01272232"", ""NCT07668401"", ""NCT05444153"", ""NCT04788511"", ""NCT02918279"", ""NCT03611582"", ""NCT05726227"", ""NCT07481630"", ""NCT05035095"", ""NCT07395687"", ""NCT01508949"", ""NCT05132088"", ""NCT03574597"", ""NCT03811574"", ""NCT06131437"", ""NCT04251156"", ""NCT05646706"", ""NCT07564414"", ""NCT05996848""]",Calculate active share using the predefined active-status set.,,139
A01,analytical,hybrid,What does the trial evidence suggest about how Novo Nordisk's obesity pipeline has evolved from established products toward newer programs?,"[""Novo Nordisk""]","[""Semaglutide"", ""Liraglutide"", ""Cagrilintide"", ""CagriSema"", ""Zenagamtide""]",True,"[""NCT00422058"", ""NCT00504673"", ""NCT00781937"", ""NCT01272219"", ""NCT01272232"", ""NCT01508949"", ""NCT01511198"", ""NCT02453711"", ""NCT02527200"", ""NCT02918279"", ""NCT02963922"", ""NCT02963935"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT03856047"", ""NCT04074161"", ""NCT04102189"", ""NCT04251156"", ""NCT04775082"", ""NCT04788511"", ""NCT04916470"", ""NCT04969939"", ""NCT04998136"", ""NCT05035095"", ""NCT05040971"", ""NCT05064735"", ""NCT05132088"", ""NCT05394519"", ""NCT05444153"", ""NCT05564117"", ""NCT05567796"", ""NCT05646706"", ""NCT05649137"", ""NCT05726227"", ""NCT05813925"", ""NCT05890976"", ""NCT05996848"", ""NCT06041217"", ""NCT06064006"", ""NCT06131437"", ""NCT06326060"", ""NCT06388187"", ""NCT06780449"", ""NCT07011667"", ""NCT07184632"", ""NCT07220642"", ""NCT07220759"", ""NCT07253285"", ""NCT07339423"", ""NCT07357766"", ""NCT07395687"", ""NCT07400107"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07564414"", ""NCT07571005"", ""NCT07571109"", ""NCT07639021"", ""NCT07668401"", ""NCT07668414"", ""NCT07720271"", ""NCT07745504"", ""NCT07770841""]","Synthesize chronology, phases and objectives. Do not infer commercial success.",,70
A02,analytical,hybrid,What does the trial portfolio suggest about how Eli Lilly is diversifying beyond Tirzepatide?,"[""Eli Lilly""]","[""Tirzepatide"", ""Retatrutide"", ""Orforglipron"", ""Eloralintide"", ""Macupatide"", ""Naperiglipron""]",True,"[""NCT00630825"", ""NCT00993421"", ""NCT04184622"", ""NCT04657003"", ""NCT04657016"", ""NCT04660643"", ""NCT04844918"", ""NCT04847557"", ""NCT04881760"", ""NCT05024032"", ""NCT05051579"", ""NCT05556512"", ""NCT05616013"", ""NCT05822830"", ""NCT05869903"", ""NCT05872620"", ""NCT05882045"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT05931380"", ""NCT06037252"", ""NCT06047548"", ""NCT06075667"", ""NCT06124807"", ""NCT06143956"", ""NCT06230523"", ""NCT06373146"", ""NCT06439277"", ""NCT06584916"", ""NCT06588283"", ""NCT06588296"", ""NCT06603571"", ""NCT06643728"", ""NCT06662383"", ""NCT06672549"", ""NCT06672939"", ""NCT06683508"", ""NCT06859268"", ""NCT06901349"", ""NCT06937086"", ""NCT06937099"", ""NCT06972459"", ""NCT07030868"", ""NCT07035093"", ""NCT07215559"", ""NCT07232719"", ""NCT07282600"", ""NCT07321886"", ""NCT07353931"", ""NCT07357415"", ""NCT07369011"", ""NCT07392190"", ""NCT07589608""]","Identify evidence of multiple obesity programs, development phases and trial objectives.",,54
