question_id,question_type,route,question,companies,programs,answerable,requires_evidence_retrieval,scope_nct_ids,scope_document_count,gold_evidence_nct_ids,gold_evidence_count,evidence_review_status,expected_answer_points,notes
C01,comparative,structured,Compare the number of Phase 3 direct-obesity trials run by Novo Nordisk and Eli Lilly.,"[""Eli Lilly"", ""Novo Nordisk""]",[],True,False,"[""NCT00504673"", ""NCT00781937"", ""NCT01272219"", ""NCT01272232"", ""NCT02527200"", ""NCT02918279"", ""NCT02963922"", ""NCT02963935"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT04074161"", ""NCT04102189"", ""NCT04184622"", ""NCT04251156"", ""NCT04657003"", ""NCT04657016"", ""NCT04660643"", ""NCT04775082"", ""NCT04788511"", ""NCT04844918"", ""NCT04847557"", ""NCT04916470"", ""NCT04998136"", ""NCT05024032"", ""NCT05035095"", ""NCT05040971"", ""NCT05064735"", ""NCT05132088"", ""NCT05394519"", ""NCT05444153"", ""NCT05556512"", ""NCT05564117"", ""NCT05567796"", ""NCT05646706"", ""NCT05649137"", ""NCT05726227"", ""NCT05813925"", ""NCT05822830"", ""NCT05869903"", ""NCT05872620"", ""NCT05882045"", ""NCT05890976"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT05931380"", ""NCT05996848"", ""NCT06041217"", ""NCT06047548"", ""NCT06075667"", ""NCT06131437"", ""NCT06388187"", ""NCT06439277"", ""NCT06584916"", ""NCT06588283"", ""NCT06588296"", ""NCT06662383"", ""NCT06672549"", ""NCT06672939"", ""NCT06780449"", ""NCT06859268"", ""NCT06937086"", ""NCT06937099"", ""NCT06972459"", ""NCT07011667"", ""NCT07035093"", ""NCT07220642"", ""NCT07220759"", ""NCT07232719"", ""NCT07253285"", ""NCT07282600"", ""NCT07321886"", ""NCT07339423"", ""NCT07353931"", ""NCT07357415"", ""NCT07357766"", ""NCT07369011"", ""NCT07392190"", ""NCT07400107"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07564414"", ""NCT07571005"", ""NCT07571109"", ""NCT07668401"", ""NCT07668414"", ""NCT07720271"", ""NCT07745504"", ""NCT07770841""]",96,[],0,not_applicable,Report Phase 3 counts for both companies.,
C02,comparative,structured,Compare the active share of obesity trials for Amgen and Novo Nordisk.,"[""Amgen"", ""Novo Nordisk""]",[],True,False,"[""NCT00422058"", ""NCT00504673"", ""NCT00781937"", ""NCT01272219"", ""NCT01272232"", ""NCT01508949"", ""NCT01511198"", ""NCT02453711"", ""NCT02527200"", ""NCT02918279"", ""NCT02963922"", ""NCT02963935"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT03856047"", ""NCT04074161"", ""NCT04102189"", ""NCT04251156"", ""NCT04775082"", ""NCT04788511"", ""NCT04916470"", ""NCT04969939"", ""NCT04998136"", ""NCT05035095"", ""NCT05040971"", ""NCT05064735"", ""NCT05132088"", ""NCT05394519"", ""NCT05444153"", ""NCT05564117"", ""NCT05567796"", ""NCT05646706"", ""NCT05649137"", ""NCT05669599"", ""NCT05726227"", ""NCT05813925"", ""NCT05890976"", ""NCT05996848"", ""NCT06041217"", ""NCT06064006"", ""NCT06131437"", ""NCT06326060"", ""NCT06388187"", ""NCT06780449"", ""NCT06858839"", ""NCT06858878"", ""NCT06987695"", ""NCT07011667"", ""NCT07184632"", ""NCT07220642"", ""NCT07220759"", ""NCT07253285"", ""NCT07339423"", ""NCT07357766"", ""NCT07395687"", ""NCT07400107"", ""NCT07441252"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07564414"", ""NCT07571005"", ""NCT07571109"", ""NCT07575399"", ""NCT07639021"", ""NCT07668401"", ""NCT07668414"", ""NCT07684144"", ""NCT07684235"", ""NCT07720271"", ""NCT07745504"", ""NCT07770841""]",78,[],0,not_applicable,Compare active trials as a share of each company's direct-obesity corpus.,
C03,comparative,hybrid,How do Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives?,"[""Eli Lilly"", ""Novo Nordisk""]","[""Semaglutide"", ""Tirzepatide""]",True,True,"[""NCT02453711"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT04074161"", ""NCT04102189"", ""NCT04184622"", ""NCT04251156"", ""NCT04657003"", ""NCT04657016"", ""NCT04660643"", ""NCT04788511"", ""NCT04844918"", ""NCT04847557"", ""NCT04916470"", ""NCT04998136"", ""NCT05024032"", ""NCT05040971"", ""NCT05064735"", ""NCT05394519"", ""NCT05444153"", ""NCT05556512"", ""NCT05564117"", ""NCT05567796"", ""NCT05646706"", ""NCT05649137"", ""NCT05726227"", ""NCT05813925"", ""NCT05822830"", ""NCT05890976"", ""NCT05996848"", ""NCT06037252"", ""NCT06041217"", ""NCT06047548"", ""NCT06075667"", ""NCT06131437"", ""NCT06143956"", ""NCT06373146"", ""NCT06388187"", ""NCT06439277"", ""NCT06588283"", ""NCT06588296"", ""NCT06603571"", ""NCT06643728"", ""NCT06662383"", ""NCT06780449"", ""NCT06901349"", ""NCT06937086"", ""NCT06937099"", ""NCT07253285"", ""NCT07400107"", ""NCT07564414"", ""NCT07639021"", ""NCT07668414"", ""NCT07770841""]",59,"[""NCT03548935"", ""NCT03574597"", ""NCT04847557"", ""NCT04916470"", ""NCT05064735"", ""NCT06937086""]",6,complete,Compare trial counts/stages and summarize differences in objectives without claiming cross-trial efficacy superiority.,
C04,comparative,retrieval,How do primary outcomes differ between Retatrutide and Orforglipron obesity trials?,"[""Eli Lilly""]","[""Orforglipron"", ""Retatrutide""]",True,True,"[""NCT04881760"", ""NCT05051579"", ""NCT05869903"", ""NCT05872620"", ""NCT05882045"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT05931380"", ""NCT06584916"", ""NCT06662383"", ""NCT06672549"", ""NCT06672939"", ""NCT06859268"", ""NCT06972459"", ""NCT07035093"", ""NCT07232719"", ""NCT07357415""]",18,"[""NCT05869903"", ""NCT05929066"", ""NCT05931367"", ""NCT05931380"", ""NCT06672939"", ""NCT07035093""]",6,complete,Compare primary outcome patterns supported by the relevant trial records.,
C05,comparative,hybrid,Compare the obesity development footprints of Survodutide and Maridebart cafraglutide.,"[""Amgen"", ""Boehringer Ingelheim""]","[""Maridebart cafraglutide"", ""Survodutide""]",True,True,"[""NCT04667377"", ""NCT05669599"", ""NCT06066515"", ""NCT06066528"", ""NCT06176365"", ""NCT06214741"", ""NCT06309992"", ""NCT06858839"", ""NCT06858878"", ""NCT06987695"", ""NCT07441252"", ""NCT07575399"", ""NCT07684144"", ""NCT07684235""]",14,"[""NCT04667377"", ""NCT05669599"", ""NCT06066515"", ""NCT06066528"", ""NCT06309992"", ""NCT06858839"", ""NCT07441252"", ""NCT07684235""]",8,complete,"Compare trial counts, phases/status and populations/objectives.",
C06,comparative,hybrid,How do Novo Nordisk's Zenagamtide and CagriSema programs differ in trial maturity?,"[""Novo Nordisk""]","[""CagriSema"", ""Zenagamtide""]",True,True,"[""NCT06064006"", ""NCT07011667"", ""NCT07339423"", ""NCT07357766"", ""NCT07400107"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07564414"", ""NCT07571005"", ""NCT07571109"", ""NCT07668401"", ""NCT07668414"", ""NCT07720271""]",15,"[""NCT06064006"", ""NCT07339423"", ""NCT07357766"", ""NCT07400107"", ""NCT07564414"", ""NCT07668401""]",6,complete,"Compare phases, statuses, start dates and stated objectives.",
C07,comparative,structured,Which has more obesity trials in the corpus: Tirzepatide or Retatrutide?,"[""Eli Lilly""]","[""Retatrutide"", ""Tirzepatide""]",True,False,"[""NCT04184622"", ""NCT04657003"", ""NCT04657016"", ""NCT04660643"", ""NCT04844918"", ""NCT04847557"", ""NCT04881760"", ""NCT05024032"", ""NCT05556512"", ""NCT05822830"", ""NCT05882045"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT06037252"", ""NCT06047548"", ""NCT06075667"", ""NCT06143956"", ""NCT06373146"", ""NCT06439277"", ""NCT06588283"", ""NCT06588296"", ""NCT06603571"", ""NCT06643728"", ""NCT06662383"", ""NCT06859268"", ""NCT06901349"", ""NCT06937086"", ""NCT06937099"", ""NCT07035093"", ""NCT07232719"", ""NCT07357415""]",32,[],0,not_applicable,Compare normalized trial counts.,
C08,comparative,retrieval,How do the studied populations differ between Cagrilintide and Eloralintide obesity trials?,"[""Eli Lilly"", ""Novo Nordisk""]","[""Cagrilintide"", ""Eloralintide""]",True,True,"[""NCT05394519"", ""NCT05567796"", ""NCT05813925"", ""NCT05996848"", ""NCT06131437"", ""NCT06143956"", ""NCT06230523"", ""NCT06388187"", ""NCT06603571"", ""NCT06780449"", ""NCT07215559"", ""NCT07220642"", ""NCT07220759"", ""NCT07253285"", ""NCT07282600"", ""NCT07321886"", ""NCT07353931"", ""NCT07369011"", ""NCT07392190"", ""NCT07589608"", ""NCT07745504""]",21,"[""NCT07220759"", ""NCT07253285"", ""NCT07282600"", ""NCT07321886"", ""NCT07353931"", ""NCT07369011"", ""NCT07392190"", ""NCT07745504""]",8,complete,"Compare populations using conditions, eligibility criteria and study descriptions.",
C09,comparative,structured,Compare median enrollment across the four companies' obesity trial portfolios.,"[""Amgen"", ""Boehringer Ingelheim"", ""Eli Lilly"", ""Novo Nordisk""]",[],True,False,"[""NCT00422058"", ""NCT00504673"", ""NCT00630825"", ""NCT00781937"", ""NCT00993421"", ""NCT01272219"", ""NCT01272232"", ""NCT01508949"", ""NCT01511198"", ""NCT02453711"", ""NCT02527200"", ""NCT02918279"", ""NCT02963922"", ""NCT02963935"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT03856047"", ""NCT04074161"", ""NCT04102189"", ""NCT04184622"", ""NCT04251156"", ""NCT04657003"", ""NCT04657016"", ""NCT04660643"", ""NCT04667377"", ""NCT04775082"", ""NCT04788511"", ""NCT04844918"", ""NCT04847557"", ""NCT04881760"", ""NCT04916470"", ""NCT04969939"", ""NCT04998136"", ""NCT05024032"", ""NCT05035095"", ""NCT05040971"", ""NCT05051579"", ""NCT05064735"", ""NCT05132088"", ""NCT05394519"", ""NCT05556512"", ""NCT05564117"", ""NCT05567796"", ""NCT05616013"", ""NCT05646706"", ""NCT05649137"", ""NCT05669599"", ""NCT05726227"", ""NCT05813925"", ""NCT05822830"", ""NCT05869903"", ""NCT05872620"", ""NCT05882045"", ""NCT05890976"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT05931380"", ""NCT05996848"", ""NCT06037252"", ""NCT06041217"", ""NCT06047548"", ""NCT06064006"", ""NCT06066515"", ""NCT06066528"", ""NCT06075667"", ""NCT06124807"", ""NCT06131437"", ""NCT06143956"", ""NCT06176365"", ""NCT06214741"", ""NCT06230523"", ""NCT06309992"", ""NCT06326060"", ""NCT06373146"", ""NCT06388187"", ""NCT06439277"", ""NCT06584916"", ""NCT06588283"", ""NCT06588296"", ""NCT06603571"", ""NCT06643728"", ""NCT06662383"", ""NCT06672549"", ""NCT06672939"", ""NCT06683508"", ""NCT06780449"", ""NCT06858839"", ""NCT06858878"", ""NCT06859268"", ""NCT06937086"", ""NCT06937099"", ""NCT06972459"", ""NCT06987695"", ""NCT07011667"", ""NCT07030868"", ""NCT07035093"", ""NCT07184632"", ""NCT07215559"", ""NCT07220642"", ""NCT07220759"", ""NCT07232719"", ""NCT07253285"", ""NCT07282600"", ""NCT07321886"", ""NCT07339423"", ""NCT07353931"", ""NCT07357415"", ""NCT07369011"", ""NCT07392190"", ""NCT07395687"", ""NCT07400107"", ""NCT07441252"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07564414"", ""NCT07571005"", ""NCT07571109"", ""NCT07575399"", ""NCT07589608"", ""NCT07639021"", ""NCT07662122"", ""NCT07668401"", ""NCT07668414"", ""NCT07684144"", ""NCT07684235"", ""NCT07720271"", ""NCT07745504"", ""NCT07770841""]",136,[],0,not_applicable,Compute company-level median enrollment after treating enrollment <=0 as missing.,
C10,comparative,structured,Which company currently has the highest proportion of active obesity trials?,"[""Amgen"", ""Boehringer Ingelheim"", ""Eli Lilly"", ""Novo Nordisk""]",[],True,False,"[""NCT00422058"", ""NCT00504673"", ""NCT00630825"", ""NCT00781937"", ""NCT00993421"", ""NCT01272219"", ""NCT01272232"", ""NCT01508949"", ""NCT01511198"", ""NCT02453711"", ""NCT02527200"", ""NCT02918279"", ""NCT02963922"", ""NCT02963935"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT03856047"", ""NCT04074161"", ""NCT04102189"", ""NCT04184622"", ""NCT04251156"", ""NCT04657003"", ""NCT04657016"", ""NCT04660643"", ""NCT04667377"", ""NCT04775082"", ""NCT04788511"", ""NCT04844918"", ""NCT04847557"", ""NCT04881760"", ""NCT04916470"", ""NCT04969939"", ""NCT04998136"", ""NCT05024032"", ""NCT05035095"", ""NCT05040971"", ""NCT05051579"", ""NCT05064735"", ""NCT05132088"", ""NCT05394519"", ""NCT05444153"", ""NCT05556512"", ""NCT05564117"", ""NCT05567796"", ""NCT05616013"", ""NCT05646706"", ""NCT05649137"", ""NCT05669599"", ""NCT05726227"", ""NCT05813925"", ""NCT05822830"", ""NCT05869903"", ""NCT05872620"", ""NCT05882045"", ""NCT05890976"", ""NCT05929066"", ""NCT05929079"", ""NCT05931367"", ""NCT05931380"", ""NCT05996848"", ""NCT06037252"", ""NCT06041217"", ""NCT06047548"", ""NCT06064006"", ""NCT06066515"", ""NCT06066528"", ""NCT06075667"", ""NCT06124807"", ""NCT06131437"", ""NCT06143956"", ""NCT06176365"", ""NCT06214741"", ""NCT06230523"", ""NCT06309992"", ""NCT06326060"", ""NCT06373146"", ""NCT06388187"", ""NCT06439277"", ""NCT06584916"", ""NCT06588283"", ""NCT06588296"", ""NCT06603571"", ""NCT06643728"", ""NCT06662383"", ""NCT06672549"", ""NCT06672939"", ""NCT06683508"", ""NCT06780449"", ""NCT06858839"", ""NCT06858878"", ""NCT06859268"", ""NCT06901349"", ""NCT06937086"", ""NCT06937099"", ""NCT06972459"", ""NCT06987695"", ""NCT07011667"", ""NCT07030868"", ""NCT07035093"", ""NCT07184632"", ""NCT07215559"", ""NCT07220642"", ""NCT07220759"", ""NCT07232719"", ""NCT07253285"", ""NCT07282600"", ""NCT07321886"", ""NCT07339423"", ""NCT07353931"", ""NCT07357415"", ""NCT07357766"", ""NCT07369011"", ""NCT07392190"", ""NCT07395687"", ""NCT07400107"", ""NCT07441252"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07564414"", ""NCT07571005"", ""NCT07571109"", ""NCT07575399"", ""NCT07589608"", ""NCT07639021"", ""NCT07662122"", ""NCT07668401"", ""NCT07668414"", ""NCT07684144"", ""NCT07684235"", ""NCT07720271"", ""NCT07745504"", ""NCT07770841""]",139,[],0,not_applicable,Calculate active share using the predefined active-status set.,
A01,analytical,hybrid,What does the trial evidence suggest about how Novo Nordisk's obesity pipeline has evolved from established products toward newer programs?,"[""Novo Nordisk""]","[""CagriSema"", ""Cagrilintide"", ""Liraglutide"", ""Semaglutide"", ""Zenagamtide""]",True,True,"[""NCT00422058"", ""NCT00504673"", ""NCT00781937"", ""NCT01272219"", ""NCT01272232"", ""NCT01508949"", ""NCT01511198"", ""NCT02453711"", ""NCT02527200"", ""NCT02918279"", ""NCT02963922"", ""NCT02963935"", ""NCT03548935"", ""NCT03548987"", ""NCT03552757"", ""NCT03574597"", ""NCT03611582"", ""NCT03693430"", ""NCT03811574"", ""NCT03856047"", ""NCT04074161"", ""NCT04102189"", ""NCT04251156"", ""NCT04775082"", ""NCT04788511"", ""NCT04916470"", ""NCT04969939"", ""NCT04998136"", ""NCT05035095"", ""NCT05040971"", ""NCT05064735"", ""NCT05132088"", ""NCT05394519"", ""NCT05444153"", ""NCT05564117"", ""NCT05567796"", ""NCT05646706"", ""NCT05649137"", ""NCT05726227"", ""NCT05813925"", ""NCT05890976"", ""NCT05996848"", ""NCT06041217"", ""NCT06064006"", ""NCT06131437"", ""NCT06326060"", ""NCT06388187"", ""NCT06780449"", ""NCT07011667"", ""NCT07184632"", ""NCT07220642"", ""NCT07220759"", ""NCT07253285"", ""NCT07339423"", ""NCT07357766"", ""NCT07395687"", ""NCT07400107"", ""NCT07481630"", ""NCT07503210"", ""NCT07509307"", ""NCT07533175"", ""NCT07564414"", ""NCT07571005"", ""NCT07571109"", ""NCT07639021"", ""NCT07668401"", ""NCT07668414"", ""NCT07720271"", ""NCT07745504"", ""NCT07770841""]",70,"[""NCT01272232"", ""NCT03548935"", ""NCT06131437"", ""NCT06780449"", ""NCT07509307""]",5,complete,"Synthesize chronology, phases and objectives. Do not infer commercial success.",
