question_id,question,question_type,expected_route,expected_operation,requires_retrieval,gold_evidence_count,scope_nct_count,pipeline_success,pipeline_error,actual_route,route_correct,actual_operation,operation_correct,predicted_abstain,retrieved_count,recall_at_5,recall_at_10,hit_at_5,hit_at_10,mrr,first_relevant_rank,citation_count,citation_validity,citation_coverage,grounding_validator_pass,synthesis_repaired,synthesis_attempts,planner_latency_ms,synthesis_latency_ms,total_latency_ms,planner_input_tokens,planner_output_tokens,synthesis_input_tokens,synthesis_output_tokens,answer_text,used_citations,retrieved_nct_ids,gold_evidence_nct_ids,judge_success,judge_answer_correctness,judge_groundedness,judge_completeness,judge_citation_entailment,judge_abstention_correct,judge_notes,judge_error
C03,How do Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives?,comparative,hybrid,,True,6,59,False,"
ANSWER CONTRACT FAILED AFTER REPAIR.

FIRST VALIDATION ERROR:
key_findings[1]: structured claim must have citations=[].
key_findings[2]: structured claim must have citations=[].

SECOND VALIDATION ERROR:
key_findings[1]: structured claim must have citations=[].
key_findings[2]: structured claim must have citations=[].

ATTEMPT 1 RAW OUTPUT:
{
  ""answer"": {
    ""text"": ""Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives. Tirzepatide has a smaller scale with 18 trials compared to Semaglutide's 26 trials. Tirzepatide trials focus on weight loss maintenance and adolescent obesity, while Semaglutide trials emphasize long-term weight management and intensive lifestyle programs."",
    ""support_type"": ""mixed"",
    ""citations"": [
      ""NCT04844918"",
      ""NCT06041217"",
      ""NCT04184622"",
      ""NCT03693430"",
      ""NCT05822830"",
      ""NCT06439277"",
      ""NCT04660643""
    ]
  },
  ""key_findings"": [
    {
      ""text"": ""Tirzepatide program includes 18 trials (smaller scale) with a Phase 3b comparative trial against Semaglutide (NCT05822830)"",
      ""support_type"": ""structured""
    },
    {
      ""text"": ""Semaglutide program includes 26 trials (larger scale) with multiple long-duration studies up to 2 years (e.g., NCT03693430)"",
      ""support_type"": ""structured""
    },
    {
      ""text"": ""Tirzepatide trials specifically target weight-loss maintenance (NCT04660643) and adolescent obesity (NCT06439277)"",
      ""support_type"": ""evidence"",
      ""citations"": [
        ""NCT04660643"",
        ""NCT06439277""
      ]
    },
    {
      ""text"": ""Semaglutide trials emphasize combination with intensive lifestyle interventions (NCT03611582) and long-term weight management (NCT03693430)"",
      ""support_type"": ""evidence"",
      ""citations"": [
        ""NCT03611582"",
        ""NCT03693430""
      ]
    }
  ],
  ""limitations"": [
    ""The corpus contains curated Phase 2 and Phase 3 obesity/overweight trials and may not represent the complete clinical-development landscape."",
    ""ClinicalTrials.gov registry fields describe study design, objectives, and planned outcomes and do not necessarily report observed efficacy or safety results."",
    ""Cross-trial comparisons are descriptive and should not be interpreted as evidence of clinical superiority.""
  ]
}

ATTEMPT 2 RAW OUTPUT:
{
  ""answer"": {
    ""text"": ""Tirzepatide and Semaglutide obesity trial programs differ in development scale and trial objectives. Tirzepatide has a smaller scale with 18 trials compared to Semaglutide's 26 trials. Tirzepatide trials focus on weight loss maintenance and adolescent obesity, while Semaglutide trials emphasize long-term weight management and intensive lifestyle programs."",
    ""support_type"": ""mixed"",
    ""citations"": [
      ""NCT04844918"",
      ""NCT06041217"",
      ""NCT04184622"",
      ""NCT03693430"",
      ""NCT05822830"",
      ""NCT06439277"",
      ""NCT03611582"",
      ""NCT04660643""
    ]
  },
  ""key_findings"": [
    {
      ""text"": ""Tirzepatide program includes 18 trials (smaller scale) with a Phase 3b comparative trial against Semaglutide (NCT05822830)"",
      ""support_type"": ""structured"",
      ""citations"": []
    },
    {
      ""text"": ""Semaglutide program includes 26 trials (larger scale) with multiple long-duration studies up to 2 years (e.g., NCT03693430)"",
      ""support_type"": ""structured"",
      ""citations"": []
    },
    {
      ""text"": ""Tirzepatide trials specifically target weight-loss maintenance (NCT04660643) and adolescent obesity (NCT06439277)"",
      ""support_type"": ""evidence"",
      ""citations"": [
        ""NCT04660643"",
        ""NCT06439277""
      ]
    },
    {
      ""text"": ""Semaglutide trials emphasize combination with intensive lifestyle interventions (NCT03611582) and long-term weight management (NCT03693430)"",
      ""support_type"": ""evidence"",
      ""citations"": [
        ""NCT03611582"",
        ""NCT03693430""
      ]
    }
  ],
  ""limitations"": [
    ""The corpus contains curated Phase 2 and Phase 3 obesity/overweight trials and may not represent the complete clinical-development landscape."",
    ""ClinicalTrials.gov registry fields describe study design, objectives, and planned outcomes and do not necessarily report observed efficacy or safety results."",
    ""Cross-trial comparisons are descriptive and should not be interpreted as evidence of clinical superiority.""
  ]
}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Pipeline execution failed; semantic judgement skipped.
C04,How do primary outcomes differ between Retatrutide and Orforglipron obesity trials?,comparative,retrieval,,True,6,18,True,,hybrid,False,summarize_trials,,False,10.0,0.5,0.8333333333333334,1.0,1.0,0.5,2.0,10.0,1.0,1.0,True,False,1.0,1640.3,3156.1,5093.2,1770.0,214.0,8834.0,460.0,"The primary outcomes for Retatrutide and Orforglipron obesity trials differ in their focus and measurement metrics. Retatrutide trials primarily measure percent change in body weight, while Orforglipron trials also focus on percent change in body weight but include additional primary outcomes such as percent change in BMI for adolescents.","[""NCT05869903"", ""NCT05872620"", ""NCT05929066"", ""NCT05931380"", ""NCT06672939"", ""NCT06859268"", ""NCT06972459"", ""NCT07035093"", ""NCT07232719"", ""NCT07357415""]","[""NCT06859268"", ""NCT06672939"", ""NCT07035093"", ""NCT05869903"", ""NCT07357415"", ""NCT06972459"", ""NCT05929066"", ""NCT05931380"", ""NCT07232719"", ""NCT05872620""]","[""NCT05869903"", ""NCT05929066"", ""NCT05931367"", ""NCT05931380"", ""NCT06672939"", ""NCT07035093""]",True,pass,pass,pass,pass,True,"The generated answer correctly identifies the primary outcomes for Retatrutide and Orforglipron obesity trials based on the retrieved evidence. The answer states that Retatrutide trials primarily measure percent change in body weight, while Orforglipron trials also focus on percent change in body weight but include additional primary outcomes such as percent change in BMI for adolescents. This is supported by the evidence, which shows that all Retatrutide trials list percent change in body weight as a primary outcome, while Orforglipron trials include percent change in body weight as well as percent change in BMI for adolescents (NCT06672939) and mean percent change in body weight for adults with type 2 diabetes (NCT05872620). The answer is comprehensive and accurately reflects the differences in primary outcomes between the two programs.",
C05,Compare the obesity development footprints of Survodutide and Maridebart cafraglutide.,comparative,hybrid,,True,8,14,True,,structured,False,summarize_trials,,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,True,False,1.0,1503.8,2300.0,3863.6,1769.0,220.0,2597.0,390.0,"The obesity development footprints for Survodutide and Maridebart cafraglutide show Maridebart cafraglutide has a larger footprint with 8 trials compared to Survodutide's 6 trials. Both programs are represented in Phase 2 and Phase 3 trials, with Maridebart cafraglutide having a stronger Phase 3 presence (7 trials) versus Survodutide (4 trials).",[],[],"[""NCT04667377"", ""NCT05669599"", ""NCT06066515"", ""NCT06066528"", ""NCT06309992"", ""NCT06858839"", ""NCT07441252"", ""NCT07684235""]",True,pass,pass,pass,not_applicable,True,"The answer correctly compares the obesity development footprints of Survodutide and Maridebart cafraglutide based on the structured analysis data. It accurately reports trial counts (8 vs 6), Phase 3 trial counts (7 vs 4), and Phase 2 trial counts (1 vs 2). The answer is fully supported by the structured analysis context and contains no material errors. Since the answer relies solely on structured metadata without requiring specific trial evidence citations, citation_entailment is marked as not_applicable. The abstention is correct as the question is answerable with the provided structured data.",
C06,How do Novo Nordisk's Zenagamtide and CagriSema programs differ in trial maturity?,comparative,hybrid,,True,6,15,True,,structured,False,summarize_trials,,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,,True,False,1.0,1363.7,1972.9,3374.1,1771.0,196.0,2699.0,362.0,"Zenagamtide has 12 trials versus 11 trials for CagriSema, with both programs showing similar phase distribution (22 Phase 3 and 1 Phase 2 across both programs) and status distribution (9 recruiting, 6 completed, 4 not yet recruiting, 3 active not recruiting, 1 withdrawn across both programs).",[],[],"[""NCT06064006"", ""NCT07339423"", ""NCT07357766"", ""NCT07400107"", ""NCT07564414"", ""NCT07668401""]",True,pass,pass,pass,not_applicable,True,"The answer correctly summarizes the trial maturity differences between Zenagamtide and CagriSema based on the structured analysis data. It accurately reports the number of trials (12 vs 11), phase distribution (22 Phase 3 and 1 Phase 2 across both), and status distribution (9 recruiting, 6 completed, etc.). The answer is fully supported by the structured data without requiring citations since the evidence is derived from the provided structured analysis. All key aspects of trial maturity are addressed comprehensively.",
C07,Which has more obesity trials in the corpus: Tirzepatide or Retatrutide?,comparative,structured,,False,0,32,True,,structured,True,summarize_trials,,False,0.0,,,,,,,0.0,1.0,,True,False,1.0,1291.7,1412.3,2762.2,1770.0,199.0,2686.0,232.0,Tirzepatide has more obesity trials in the corpus than Retatrutide.,[],[],[],True,pass,pass,pass,not_applicable,True,The answer correctly states that Tirzepatide has more obesity trials (18) than Retatrutide (10) based on the structured analysis. The answer is supported by the provided structured data and does not make any unsupported claims. The limitations appropriately note the scope of the analysis and the nature of the data. No citations are required as the answer is derived directly from the structured analysis.,
C08,How do the studied populations differ between Cagrilintide and Eloralintide obesity trials?,comparative,retrieval,,True,8,21,True,,retrieval,True,,,False,9.0,0.5,0.875,1.0,1.0,1.0,1.0,8.0,1.0,1.0,True,False,1.0,1568.1,2817.3,4647.7,1770.0,223.0,7612.0,492.0,"The studied populations differ between Cagrilintide and Eloralintide obesity trials in several key aspects, including diabetes status, comorbidities, and treatment background.","[""NCT07220642"", ""NCT07220759"", ""NCT07282600"", ""NCT07321886"", ""NCT07353931"", ""NCT07369011"", ""NCT07392190"", ""NCT07745504""]","[""NCT07220759"", ""NCT07282600"", ""NCT07220642"", ""NCT07392190"", ""NCT07745504"", ""NCT07321886"", ""NCT07353931"", ""NCT07369011"", ""NCT06230523""]","[""NCT07220759"", ""NCT07253285"", ""NCT07282600"", ""NCT07321886"", ""NCT07353931"", ""NCT07369011"", ""NCT07392190"", ""NCT07745504""]",True,pass,pass,pass,pass,True,"The generated answer correctly identifies key differences in studied populations between Cagrilintide and Eloralintide obesity trials based on diabetes status, comorbidities, and trial scale. All claims are supported by the retrieved evidence citations, with no material factual errors or unsupported generalizations. The answer addresses the core question comprehensively using the provided trial data.",
C09,Compare median enrollment across the four companies' obesity trial portfolios.,comparative,structured,,False,0,136,True,,structured,True,summarize_trials,,False,0.0,,,,,,,0.0,1.0,,True,False,1.0,1248.5,1538.8,2823.0,1763.0,182.0,4083.0,221.0,The median enrollment across the four companies' obesity trial portfolios is 400 participants.,[],[],[],True,fail,fail,fail,not_applicable,True,"The answer incorrectly states that the median enrollment across the four companies' obesity trial portfolios is 400 participants. The structured analysis only provides the overall median enrollment across all 139 obesity trials in the corpus, not broken down by company. The answer fails to actually compare median enrollment across the four companies as requested. The generated answer does not provide any company-specific median enrollment values or comparisons, making it incorrect for the question asked. The answer should have calculated or reported median enrollment values for each company's trial portfolio individually and then compared them.",
C10,Which company currently has the highest proportion of active obesity trials?,comparative,structured,,False,0,139,False,Unknown statuses: ['Active'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,Pipeline execution failed; semantic judgement skipped.
A01,What does the trial evidence suggest about how Novo Nordisk's obesity pipeline has evolved from established products toward newer programs?,analytical,hybrid,,True,5,70,True,,hybrid,True,summarize_trials,,False,10.0,0.0,0.0,0.0,0.0,0.0,,5.0,1.0,1.0,True,False,1.0,1585.2,4150.5,6203.0,1773.0,205.0,11594.0,449.0,"The trial evidence shows Novo Nordisk's obesity pipeline has evolved from established GLP-1 analog liraglutide toward newer, more potent programs like semaglutide, with ongoing exploration of dual GIP/GLP-1 receptor agonist retatrutide and GPR119 agonist survodutide.","[""NCT02963935"", ""NCT03574597"", ""NCT04074161"", ""NCT05882045"", ""NCT06066515""]","[""NCT03856047"", ""NCT03574597"", ""NCT05882045"", ""NCT06066515"", ""NCT02963935"", ""NCT03552757"", ""NCT06859268"", ""NCT06176365"", ""NCT01508949"", ""NCT04074161""]","[""NCT01272232"", ""NCT03548935"", ""NCT06131437"", ""NCT06780449"", ""NCT07509307""]",True,pass,pass,pass,pass,True,"The generated answer accurately reflects the evolution of Novo Nordisk's obesity pipeline as demonstrated in the trial evidence. The answer correctly identifies liraglutide as the established product, semaglutide as the newer dominant program, and retatrutide/survodutide as next-generation mechanisms. All claims are supported by the cited trials, and the answer addresses the core question about pipeline evolution. The limitations section appropriately acknowledges constraints of the ClinicalTrials.gov data. All citations used are valid and directly support the claims made.",
A02,What does the trial portfolio suggest about how Eli Lilly is diversifying beyond Tirzepatide?,analytical,hybrid,,True,6,54,True,,hybrid,True,summarize_trials,,False,10.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.25,4.0,6.0,1.0,1.0,True,True,2.0,1516.4,5928.200000000001,7665.4,1770.0,213.0,16579.0,894.0,"The trial portfolio suggests that Eli Lilly is diversifying beyond Tirzepatide by exploring combination therapies and expanding indications for existing assets, while also potentially advancing new molecular entities in obesity treatment.","[""NCT04844918"", ""NCT05556512"", ""NCT05822830"", ""NCT06439277"", ""NCT06588283"", ""NCT06588296""]","[""NCT04844918"", ""NCT05556512"", ""NCT06439277"", ""NCT04184622"", ""NCT06588296"", ""NCT04657003"", ""NCT04660643"", ""NCT06588283"", ""NCT06037252"", ""NCT05822830""]","[""NCT04184622"", ""NCT05872620"", ""NCT06143956"", ""NCT06603571"", ""NCT06662383"", ""NCT07215559""]",True,pass,pass,pass,pass,True,"The generated answer correctly identifies Eli Lilly's diversification strategies beyond Tirzepatide based on the supplied trial evidence. The answer is well-supported by the retrieved clinical trial data, which shows combination therapies (Tirzepatide + Ixekizumab), head-to-head comparisons (Tirzepatide vs. Semaglutide), and trials targeting specific subpopulations (adolescents with obesity). All claims are directly supported by the cited trials, and the answer addresses the core question about diversification strategies. No material errors or unsupported claims are present.",
A03,"Across the four companies, what types of primary outcomes are most commonly used in obesity trials?",analytical,retrieval,,True,7,139,True,,retrieval,True,,,False,10.0,0.14285714285714285,0.42857142857142855,1.0,1.0,1.0,1.0,10.0,1.0,1.0,True,False,1.0,1647.8,3148.0,5200.2,1769.0,219.0,9687.0,536.0,"Across obesity trials from Novo Nordisk, Eli Lilly, Amgen, and Boehringer Ingelheim, the most commonly used primary outcomes are weight change metrics, particularly percent change from baseline in body weight and achievement of ≥5% body weight reduction.","[""NCT03574597"", ""NCT04184622"", ""NCT04251156"", ""NCT04788511"", ""NCT05869903"", ""NCT06176365"", ""NCT06672939"", ""NCT06858839"", ""NCT06987695"", ""NCT07662122""]","[""NCT03574597"", ""NCT05869903"", ""NCT06987695"", ""NCT07662122"", ""NCT04251156"", ""NCT06672939"", ""NCT06858839"", ""NCT06176365"", ""NCT04788511"", ""NCT04184622""]","[""NCT02527200"", ""NCT03574597"", ""NCT04184622"", ""NCT04667377"", ""NCT05035095"", ""NCT06439277"", ""NCT06858839""]",True,pass,pass,pass,pass,True,"The generated answer correctly identifies the most common primary outcomes (weight change metrics, particularly percent change from baseline in body weight and achievement of ≥5% body weight reduction) across obesity trials from the four companies. The answer is fully supported by the retrieved evidence, with all cited trials showing these outcomes as primary measures. The answer is comprehensive, covering the key findings and limitations appropriately. All citations used are valid and directly support the claims made.",
A04,"Which obesity programs appear to have the broadest clinical development footprints in this corpus, and what evidence supports that assessment?",analytical,hybrid,,True,8,139,True,,hybrid,True,summarize_trials,,False,10.0,0.0,0.0,0.0,0.0,0.0,,4.0,1.0,1.0,True,False,1.0,1686.7,3241.2,6215.3,1773.0,295.0,11209.0,496.0,"Based on the retrieved evidence, Novo Nordisk and Eli Lilly appear to have the broadest clinical development footprints in obesity, with Semaglutide and Tirzepatide showing particularly extensive trial activity.","[""NCT02963935"", ""NCT05616013"", ""NCT05929066"", ""NCT07564414""]","[""NCT05616013"", ""NCT07564414"", ""NCT07745504"", ""NCT06230523"", ""NCT02963935"", ""NCT06987695"", ""NCT07184632"", ""NCT07030868"", ""NCT06672549"", ""NCT05929066""]","[""NCT02527200"", ""NCT02963922"", ""NCT03552757"", ""NCT05064735"", ""NCT06309992"", ""NCT06780449"", ""NCT06858839"", ""NCT06937086""]",True,pass,pass,pass,pass,True,"The generated answer correctly identifies Novo Nordisk and Eli Lilly as having the broadest clinical development footprints based on structured trial counts (66 and 45 trials respectively). The answer supports this with evidence from specific trials (NCT02963935, NCT05616013, NCT05929066, NCT07564414) showing Semaglutide's and Tirzepatide's extensive trial activity across multiple populations and combination therapies. All claims are directly supported by the supplied structured analysis and retrieved evidence without material errors or unsupported generalizations.",
A05,How do obesity trials expand beyond weight-loss endpoints into cardiovascular or other clinical outcomes?,analytical,retrieval,,True,4,139,True,,retrieval,True,,,False,10.0,0.25,0.25,1.0,1.0,0.2,5.0,3.0,1.0,1.0,True,False,1.0,1323.9,2918.9,4606.0,1767.0,199.0,11727.0,413.0,"Obesity trials are increasingly incorporating cardiovascular and other clinical outcomes beyond weight loss, particularly in later-phase studies. Notable examples include the SELECT trial (NCT03574597) evaluating semaglutide's impact on cardiovascular events in patients with prior cardiovascular disease, and trials assessing blood pressure changes (e.g., NCT04667377) and liver outcomes (e.g., NCT07441252).","[""NCT03574597"", ""NCT04667377"", ""NCT07441252""]","[""NCT03811574"", ""NCT05616013"", ""NCT07441252"", ""NCT04667377"", ""NCT03574597"", ""NCT05931380"", ""NCT06858839"", ""NCT07662122"", ""NCT03856047"", ""NCT06124807""]","[""NCT03574597"", ""NCT04847557"", ""NCT05929066"", ""NCT06309992""]",True,pass,pass,pass,pass,True,"The generated answer correctly identifies how obesity trials expand beyond weight-loss endpoints into cardiovascular or other clinical outcomes, using valid citations from the provided evidence. The SELECT trial (NCT03574597) evaluates cardiovascular events, Survodutide trial (NCT04667377) tracks blood pressure changes, and maridebart cafraglutide trial (NCT07441252) assesses liver fat content. All claims are directly supported by the cited trials, and the answer addresses the question comprehensively without overgeneralization or unsupported conclusions.",
